shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
R23_out_Clendenin, 38.351828, -81.635531, 1, 0.00
R23_out_Clendenin, 38.351407, -81.636268, 2, 0.05
R23_out_Clendenin, 38.351259, -81.636623, 3, 0.07
R23_out_Clendenin, 38.351908, -81.637340, 4, 0.13
R23_out_Clendenin, 38.353195, -81.638935, 5, 0.25
R23_out_Clendenin, 38.354334, -81.640453, 6, 0.37
R23_out_Clendenin, 38.354884, -81.639769, 7, 0.42
R23_out_Clendenin, 38.355405, -81.639114, 8, 0.47
R23_out_Clendenin, 38.355835, -81.638623, 9, 0.51
R23_out_Clendenin, 38.356404, -81.638046, 10, 0.56
R23_out_Clendenin, 38.357034, -81.639111, 11, 0.63
R23_out_Clendenin, 38.357547, -81.639484, 12, 0.68
R23_out_Clendenin, 38.358355, -81.639995, 13, 0.74
R23_out_Clendenin, 38.359046, -81.640279, 14, 0.79
R23_out_Clendenin, 38.359377, -81.639205, 15, 0.85
R23_out_Clendenin, 38.359779, -81.638006, 16, 0.92
R23_out_Clendenin, 38.359849, -81.637573, 17, 0.95
R23_out_Clendenin, 38.359894, -81.635605, 18, 1.05
R23_out_Clendenin, 38.359874, -81.633832, 19, 1.15
R23_out_Clendenin, 38.359833, -81.632219, 20, 1.24
R23_out_Clendenin, 38.359789, -81.631090, 21, 1.30
R23_out_Clendenin, 38.359757, -81.630180, 22, 1.35
R23_out_Clendenin, 38.359769, -81.629989, 23, 1.36
R23_out_Clendenin, 38.359909, -81.629781, 24, 1.37
R23_out_Clendenin, 38.359980, -81.629429, 25, 1.39
R23_out_Clendenin, 38.360379, -81.628346, 26, 1.46
R23_out_Clendenin, 38.360778, -81.627421, 27, 1.51
R23_out_Clendenin, 38.360725, -81.624611, 28, 1.67
R23_out_Clendenin, 38.360745, -81.624165, 29, 1.69
R23_out_Clendenin, 38.361267, -81.623001, 30, 1.76
R23_out_Clendenin, 38.361339, -81.622805, 31, 1.78
R23_out_Clendenin, 38.361585, -81.621107, 32, 1.87
R23_out_Clendenin, 38.363013, -81.617067, 33, 2.11
R23_out_Clendenin, 38.364308, -81.613118, 34, 2.34
R23_out_Clendenin, 38.365769, -81.611854, 35, 2.46
R23_out_Clendenin, 38.366646, -81.610920, 36, 2.54
R23_out_Clendenin, 38.367736, -81.609803, 37, 2.64
R23_out_Clendenin, 38.368719, -81.608971, 38, 2.72
R23_out_Clendenin, 38.369922, -81.608097, 39, 2.82
R23_out_Clendenin, 38.372313, -81.606594, 40, 3.00
R23_out_Clendenin, 38.374296, -81.605328, 41, 3.15
R23_out_Clendenin, 38.375750, -81.604341, 42, 3.27
R23_out_Clendenin, 38.377619, -81.602803, 43, 3.42
R23_out_Clendenin, 38.379978, -81.600952, 44, 3.61
R23_out_Clendenin, 38.381248, -81.599503, 45, 3.73
R23_out_Clendenin, 38.382249, -81.597885, 46, 3.84
R23_out_Clendenin, 38.382852, -81.596489, 47, 3.93
R23_out_Clendenin, 38.383534, -81.594631, 48, 4.04
R23_out_Clendenin, 38.383809, -81.594123, 49, 4.07
R23_out_Clendenin, 38.384403, -81.593714, 50, 4.12
R23_out_Clendenin, 38.384946, -81.593530, 51, 4.16
R23_out_Clendenin, 38.385682, -81.593517, 52, 4.21
R23_out_Clendenin, 38.386635, -81.593934, 53, 4.28
R23_out_Clendenin, 38.387532, -81.593974, 54, 4.34
R23_out_Clendenin, 38.388098, -81.593803, 55, 4.38
R23_out_Clendenin, 38.389375, -81.593129, 56, 4.48
R23_out_Clendenin, 38.389953, -81.592795, 57, 4.52
R23_out_Clendenin, 38.390955, -81.592574, 58, 4.59
R23_out_Clendenin, 38.391263, -81.592308, 59, 4.62
R23_out_Clendenin, 38.391993, -81.591062, 60, 4.70
R23_out_Clendenin, 38.392856, -81.589431, 61, 4.81
R23_out_Clendenin, 38.393632, -81.588190, 62, 4.89
R23_out_Clendenin, 38.394041, -81.587536, 63, 4.94
R23_out_Clendenin, 38.394746, -81.586937, 64, 5.00
R23_out_Clendenin, 38.396583, -81.585585, 65, 5.14
R23_out_Clendenin, 38.397929, -81.584582, 66, 5.25
R23_out_Clendenin, 38.398807, -81.583977, 67, 5.32
R23_out_Clendenin, 38.399337, -81.583546, 68, 5.36
R23_out_Clendenin, 38.399817, -81.582972, 69, 5.41
R23_out_Clendenin, 38.400133, -81.582346, 70, 5.45
R23_out_Clendenin, 38.400357, -81.581696, 71, 5.49
R23_out_Clendenin, 38.400449, -81.580888, 72, 5.53
R23_out_Clendenin, 38.400448, -81.579234, 73, 5.62
R23_out_Clendenin, 38.400508, -81.577256, 74, 5.73
R23_out_Clendenin, 38.400557, -81.575799, 75, 5.81
R23_out_Clendenin, 38.400475, -81.575071, 76, 5.85
R23_out_Clendenin, 38.399913, -81.573518, 77, 5.94
R23_out_Clendenin, 38.398963, -81.571653, 78, 6.06
R23_out_Clendenin, 38.398111, -81.570258, 79, 6.16
R23_out_Clendenin, 38.397232, -81.568575, 80, 6.27
R23_out_Clendenin, 38.396512, -81.567273, 81, 6.35
R23_out_Clendenin, 38.396299, -81.566372, 82, 6.40
R23_out_Clendenin, 38.396157, -81.565141, 83, 6.47
R23_out_Clendenin, 38.396144, -81.562906, 84, 6.59
R23_out_Clendenin, 38.396246, -81.561436, 85, 6.67
R23_out_Clendenin, 38.397035, -81.558994, 86, 6.82
R23_out_Clendenin, 38.397872, -81.557203, 87, 6.93
R23_out_Clendenin, 38.398768, -81.555851, 88, 7.03
R23_out_Clendenin, 38.399803, -81.554170, 89, 7.14
R23_out_Clendenin, 38.400381, -81.553237, 90, 7.21
R23_out_Clendenin, 38.401019, -81.551878, 91, 7.29
R23_out_Clendenin, 38.401652, -81.550596, 92, 7.37
R23_out_Clendenin, 38.402790, -81.549559, 93, 7.47
R23_out_Clendenin, 38.404014, -81.548515, 94, 7.57
R23_out_Clendenin, 38.404727, -81.547616, 95, 7.64
R23_out_Clendenin, 38.405002, -81.546939, 96, 7.68
R23_out_Clendenin, 38.405430, -81.545831, 97, 7.75
R23_out_Clendenin, 38.405745, -81.544673, 98, 7.82
R23_out_Clendenin, 38.405914, -81.543702, 99, 7.87
R23_out_Clendenin, 38.406057, -81.542048, 100, 7.96
R23_out_Clendenin, 38.406182, -81.540699, 101, 8.03
R23_out_Clendenin, 38.406219, -81.539288, 102, 8.11
R23_out_Clendenin, 38.405826, -81.537969, 103, 8.19
R23_out_Clendenin, 38.405634, -81.536729, 104, 8.26
R23_out_Clendenin, 38.405539, -81.534974, 105, 8.35
R23_out_Clendenin, 38.405335, -81.533091, 106, 8.45
R23_out_Clendenin, 38.405501, -81.530462, 107, 8.60
R23_out_Clendenin, 38.405756, -81.528824, 108, 8.69
R23_out_Clendenin, 38.406257, -81.526800, 109, 8.80
R23_out_Clendenin, 38.406670, -81.525352, 110, 8.89
R23_out_Clendenin, 38.407227, -81.524014, 111, 8.97
R23_out_Clendenin, 38.408340, -81.521615, 112, 9.12
R23_out_Clendenin, 38.408431, -81.520989, 113, 9.15
R23_out_Clendenin, 38.408451, -81.519946, 114, 9.21
R23_out_Clendenin, 38.408532, -81.519227, 115, 9.25
R23_out_Clendenin, 38.408716, -81.518236, 116, 9.31
R23_out_Clendenin, 38.408990, -81.516752, 117, 9.39
R23_out_Clendenin, 38.409109, -81.514194, 118, 9.53
R23_out_Clendenin, 38.409117, -81.512685, 119, 9.61
R23_out_Clendenin, 38.409481, -81.509905, 120, 9.76
R23_out_Clendenin, 38.409928, -81.508436, 121, 9.85
R23_out_Clendenin, 38.410560, -81.507024, 122, 9.94
R23_out_Clendenin, 38.412517, -81.502876, 123, 10.20
R23_out_Clendenin, 38.413294, -81.501090, 124, 10.31
