trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Saturday-2cc_in_qw_cc_tm-a,7:02:00,7:02:00,2006,100,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,,,2061,101,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,,,2060,102,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,,,2062,103,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,,,2056,104,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,,,2057,105,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,,,2058,106,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,,,2059,107,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,7:12:00,7:12:00,2005,108,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,,,2059,109,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,,,2058,110,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,,,2057,111,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,,,2056,112,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,,,2063,113,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,,,2055,114,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,,,2054,115,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,,,2053,116,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,,,2052,117,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,,,2051,118,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,,,2050,119,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,,,2049,120,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,,,2048,121,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,7:25:00,7:25:00,2004,122,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,,,2047,123,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,,,2046,124,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,,,2045,125,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,,,2044,126,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,,,2043,127,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,,,2042,128,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,,,2041,129,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,,,2040,130,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,,,2039,131,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,,,2038,132,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,7:37:00,7:37:00,2003,133,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,,,2032,134,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,,,2031,135,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,,,2030,136,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,,,2029,137,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,,,2028,138,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,,,2033,139,,,,
KRT_Saturday-2cc_in_qw_cc_tm-a,,,2026,140,,,,
