shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
R2_km_in, 38.311215, -81.566233, 1, 0.00
R2_km_in, 38.311411, -81.566584, 2, 0.02
R2_km_in, 38.311357, -81.566633, 3, 0.03
R2_km_in, 38.312892, -81.569300, 4, 0.21
R2_km_in, 38.313875, -81.568402, 5, 0.29
R2_km_in, 38.315364, -81.570980, 6, 0.46
R2_km_in, 38.316865, -81.573570, 7, 0.64
R2_km_in, 38.318354, -81.576148, 8, 0.81
R2_km_in, 38.320040, -81.579079, 9, 1.01
R2_km_in, 38.321520, -81.581643, 10, 1.18
R2_km_in, 38.323023, -81.584236, 11, 1.36
R2_km_in, 38.324507, -81.586839, 12, 1.53
R2_km_in, 38.325997, -81.589439, 13, 1.71
R2_km_in, 38.327172, -81.591466, 14, 1.84
R2_km_in, 38.327300, -81.591755, 15, 1.86
R2_km_in, 38.328106, -81.595444, 16, 2.07
R2_km_in, 38.328214, -81.596590, 17, 2.13
R2_km_in, 38.328306, -81.596836, 18, 2.15
R2_km_in, 38.328491, -81.596983, 19, 2.16
R2_km_in, 38.329999, -81.596809, 20, 2.27
R2_km_in, 38.331917, -81.596736, 21, 2.40
R2_km_in, 38.332643, -81.596740, 22, 2.45
R2_km_in, 38.333936, -81.596791, 23, 2.54
R2_km_in, 38.334451, -81.597121, 24, 2.58
R2_km_in, 38.334634, -81.597365, 25, 2.60
R2_km_in, 38.334843, -81.597793, 26, 2.62
R2_km_in, 38.334930, -81.598182, 27, 2.65
R2_km_in, 38.335164, -81.599744, 28, 2.73
R2_km_in, 38.335233, -81.600030, 29, 2.75
R2_km_in, 38.335208, -81.600361, 30, 2.77
R2_km_in, 38.335799, -81.603937, 31, 2.97
R2_km_in, 38.336567, -81.607769, 32, 3.18
R2_km_in, 38.336881, -81.608946, 33, 3.25
R2_km_in, 38.337233, -81.610117, 34, 3.32
R2_km_in, 38.335433, -81.610969, 35, 3.45
R2_km_in, 38.335259, -81.611018, 36, 3.46
R2_km_in, 38.335325, -81.611925, 37, 3.51
R2_km_in, 38.335580, -81.613272, 38, 3.59
R2_km_in, 38.335895, -81.614579, 39, 3.66
R2_km_in, 38.336444, -81.616342, 40, 3.76
R2_km_in, 38.338413, -81.614567, 41, 3.93
R2_km_in, 38.339075, -81.613989, 42, 3.98
R2_km_in, 38.340440, -81.616522, 43, 4.15
R2_km_in, 38.340940, -81.617486, 44, 4.21
R2_km_in, 38.342380, -81.620553, 45, 4.41
R2_km_in, 38.343014, -81.621895, 46, 4.49
R2_km_in, 38.344382, -81.623953, 47, 4.64
R2_km_in, 38.345080, -81.624888, 48, 4.71
R2_km_in, 38.346632, -81.626772, 49, 4.86
R2_km_in, 38.347853, -81.628255, 50, 4.97
R2_km_in, 38.349153, -81.629824, 51, 5.10
R2_km_in, 38.350483, -81.631460, 52, 5.23
R2_km_in, 38.352195, -81.632892, 53, 5.37
R2_km_in, 38.351722, -81.633932, 54, 5.43
R2_km_in, 38.351316, -81.634789, 55, 5.49
R2_km_in, 38.350562, -81.635810, 56, 5.56
R2_km_in, 38.351222, -81.636576, 57, 5.62
R2_km_in, 38.351314, -81.636333, 58, 5.64
R2_km_in, 38.351812, -81.635512, 59, 5.69
