trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Saturday-2kc_out_tm_skm-a,7:25:00,7:25:00,2,100,,,,
KRT_Saturday-2kc_out_tm_skm-a,,,2010,101,,,,
KRT_Saturday-2kc_out_tm_skm-a,,,2011,102,,,,
KRT_Saturday-2kc_out_tm_skm-a,,,2012,103,,,,
KRT_Saturday-2kc_out_tm_skm-a,,,2013,104,,,,
KRT_Saturday-2kc_out_tm_skm-a,,,2014,105,,,,
KRT_Saturday-2kc_out_tm_skm-a,,,2015,106,,,,
KRT_Saturday-2kc_out_tm_skm-a,,,2016,107,,,,
KRT_Saturday-2kc_out_tm_skm-a,,,2017,108,,,,
KRT_Saturday-2kc_out_tm_skm-a,,,2018,109,,,,
KRT_Saturday-2kc_out_tm_skm-a,7:37:00,7:37:00,2001,110,,,,
KRT_Saturday-2kc_out_tm_skm-a,,,2019,111,,,,
KRT_Saturday-2kc_out_tm_skm-a,,,2020,112,,,,
KRT_Saturday-2kc_out_tm_skm-a,,,2021,113,,,,
KRT_Saturday-2kc_out_tm_skm-a,,,2022,114,,,,
KRT_Saturday-2kc_out_tm_skm-a,,,2023,115,,,,
KRT_Saturday-2kc_out_tm_skm-a,,,2024,116,,,,
KRT_Saturday-2kc_out_tm_skm-a,,,2025,117,,,,
KRT_Saturday-2kc_out_tm_skm-a,,,2026,118,,,,
KRT_Saturday-2kc_out_tm_skm-a,,,2027,119,,,,
KRT_Saturday-2kc_out_tm_skm-a,,,2028,120,,,,
KRT_Saturday-2kc_out_tm_skm-a,,,2029,121,,,,
KRT_Saturday-2kc_out_tm_skm-a,,,2030,122,,,,
KRT_Saturday-2kc_out_tm_skm-a,,,2031,123,,,,
KRT_Saturday-2kc_out_tm_skm-a,,,2032,124,,,,
KRT_Saturday-2kc_out_tm_skm-a,7:48:00,7:48:00,2002,125,,,,
KRT_Saturday-2kc_out_tm_skm-b,8:25:00,8:25:00,2,100,,,,
KRT_Saturday-2kc_out_tm_skm-b,,,2010,101,,,,
KRT_Saturday-2kc_out_tm_skm-b,,,2011,102,,,,
KRT_Saturday-2kc_out_tm_skm-b,,,2012,103,,,,
KRT_Saturday-2kc_out_tm_skm-b,,,2013,104,,,,
KRT_Saturday-2kc_out_tm_skm-b,,,2014,105,,,,
KRT_Saturday-2kc_out_tm_skm-b,,,2015,106,,,,
KRT_Saturday-2kc_out_tm_skm-b,,,2016,107,,,,
KRT_Saturday-2kc_out_tm_skm-b,,,2017,108,,,,
KRT_Saturday-2kc_out_tm_skm-b,,,2018,109,,,,
KRT_Saturday-2kc_out_tm_skm-b,8:37:00,8:37:00,2001,110,,,,
KRT_Saturday-2kc_out_tm_skm-b,,,2019,111,,,,
KRT_Saturday-2kc_out_tm_skm-b,,,2020,112,,,,
KRT_Saturday-2kc_out_tm_skm-b,,,2021,113,,,,
KRT_Saturday-2kc_out_tm_skm-b,,,2022,114,,,,
KRT_Saturday-2kc_out_tm_skm-b,,,2023,115,,,,
KRT_Saturday-2kc_out_tm_skm-b,,,2024,116,,,,
KRT_Saturday-2kc_out_tm_skm-b,,,2025,117,,,,
KRT_Saturday-2kc_out_tm_skm-b,,,2026,118,,,,
KRT_Saturday-2kc_out_tm_skm-b,,,2027,119,,,,
KRT_Saturday-2kc_out_tm_skm-b,,,2028,120,,,,
KRT_Saturday-2kc_out_tm_skm-b,,,2029,121,,,,
KRT_Saturday-2kc_out_tm_skm-b,,,2030,122,,,,
KRT_Saturday-2kc_out_tm_skm-b,,,2031,123,,,,
KRT_Saturday-2kc_out_tm_skm-b,,,2032,124,,,,
KRT_Saturday-2kc_out_tm_skm-b,8:48:00,8:48:00,2002,125,,,,
KRT_Saturday-2kc_out_tm_skm-c,9:25:00,9:25:00,2,100,,,,
KRT_Saturday-2kc_out_tm_skm-c,,,2010,101,,,,
KRT_Saturday-2kc_out_tm_skm-c,,,2011,102,,,,
KRT_Saturday-2kc_out_tm_skm-c,,,2012,103,,,,
KRT_Saturday-2kc_out_tm_skm-c,,,2013,104,,,,
KRT_Saturday-2kc_out_tm_skm-c,,,2014,105,,,,
KRT_Saturday-2kc_out_tm_skm-c,,,2015,106,,,,
KRT_Saturday-2kc_out_tm_skm-c,,,2016,107,,,,
KRT_Saturday-2kc_out_tm_skm-c,,,2017,108,,,,
KRT_Saturday-2kc_out_tm_skm-c,,,2018,109,,,,
KRT_Saturday-2kc_out_tm_skm-c,9:37:00,9:37:00,2001,110,,,,
KRT_Saturday-2kc_out_tm_skm-c,,,2019,111,,,,
KRT_Saturday-2kc_out_tm_skm-c,,,2020,112,,,,
KRT_Saturday-2kc_out_tm_skm-c,,,2021,113,,,,
KRT_Saturday-2kc_out_tm_skm-c,,,2022,114,,,,
KRT_Saturday-2kc_out_tm_skm-c,,,2023,115,,,,
KRT_Saturday-2kc_out_tm_skm-c,,,2024,116,,,,
KRT_Saturday-2kc_out_tm_skm-c,,,2025,117,,,,
KRT_Saturday-2kc_out_tm_skm-c,,,2026,118,,,,
KRT_Saturday-2kc_out_tm_skm-c,,,2027,119,,,,
KRT_Saturday-2kc_out_tm_skm-c,,,2028,120,,,,
KRT_Saturday-2kc_out_tm_skm-c,,,2029,121,,,,
KRT_Saturday-2kc_out_tm_skm-c,,,2030,122,,,,
KRT_Saturday-2kc_out_tm_skm-c,,,2031,123,,,,
KRT_Saturday-2kc_out_tm_skm-c,,,2032,124,,,,
KRT_Saturday-2kc_out_tm_skm-c,9:48:00,9:48:00,2002,125,,,,
