trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Saturday-3n_in_mgr_tm-a,5:58:00,5:58:00,3007,100,,,,
KRT_Saturday-3n_in_mgr_tm-a,,,3080,101,,,,
KRT_Saturday-3n_in_mgr_tm-a,6:01:00,6:01:00,3006,102,,,,
KRT_Saturday-3n_in_mgr_tm-a,,,3081,103,,,,
KRT_Saturday-3n_in_mgr_tm-a,,,3082,104,,,,
KRT_Saturday-3n_in_mgr_tm-a,,,3077,105,,,,
KRT_Saturday-3n_in_mgr_tm-a,,,3076,106,,,,
KRT_Saturday-3n_in_mgr_tm-a,,,3075,107,,,,
KRT_Saturday-3n_in_mgr_tm-a,,,3074,108,,,,
KRT_Saturday-3n_in_mgr_tm-a,,,3073,109,,,,
KRT_Saturday-3n_in_mgr_tm-a,,,3072,110,,,,
KRT_Saturday-3n_in_mgr_tm-a,,,3071,111,,,,
KRT_Saturday-3n_in_mgr_tm-a,,,3070,112,,,,
KRT_Saturday-3n_in_mgr_tm-a,,,3069,113,,,,
KRT_Saturday-3n_in_mgr_tm-a,,,3068,114,,,,
KRT_Saturday-3n_in_mgr_tm-a,,,3067,115,,,,
KRT_Saturday-3n_in_mgr_tm-a,6:11:00,6:11:00,3005,116,,,,
KRT_Saturday-3n_in_mgr_tm-a,,,3066,117,,,,
KRT_Saturday-3n_in_mgr_tm-a,,,3065,118,,,,
KRT_Saturday-3n_in_mgr_tm-a,,,3064,119,,,,
KRT_Saturday-3n_in_mgr_tm-a,,,3063,120,,,,
KRT_Saturday-3n_in_mgr_tm-a,,,3062,121,,,,
KRT_Saturday-3n_in_mgr_tm-a,,,3061,122,,,,
KRT_Saturday-3n_in_mgr_tm-a,,,3060,123,,,,
KRT_Saturday-3n_in_mgr_tm-a,,,3059,124,,,,
KRT_Saturday-3n_in_mgr_tm-a,,,3058,125,,,,
