trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Saturday-5_in_nmp_tm-a,6:20:00,6:20:00,3006,100,,,,
KRT_Saturday-5_in_nmp_tm-a,,,3081,101,,,,
KRT_Saturday-5_in_nmp_tm-a,,,3082,102,,,,
KRT_Saturday-5_in_nmp_tm-a,,,3077,103,,,,
KRT_Saturday-5_in_nmp_tm-a,,,3076,104,,,,
KRT_Saturday-5_in_nmp_tm-a,,,3075,105,,,,
KRT_Saturday-5_in_nmp_tm-a,6:32:00,6:32:00,5002,106,,,,
KRT_Saturday-5_in_nmp_tm-a,,,5019,107,,,,
KRT_Saturday-5_in_nmp_tm-a,,,5018,108,,,,
KRT_Saturday-5_in_nmp_tm-a,,,5017,109,,,,
KRT_Saturday-5_in_nmp_tm-a,,,5016,110,,,,
KRT_Saturday-5_in_nmp_tm-a,6:45:00,6:45:00,5001,111,,,,
KRT_Saturday-5_in_nmp_tm-a,,,5015,112,,,,
KRT_Saturday-5_in_nmp_tm-a,,,5014,113,,,,
KRT_Saturday-5_in_nmp_tm-a,,,5013,114,,,,
KRT_Saturday-5_in_nmp_tm-a,,,5012,115,,,,
KRT_Saturday-5_in_nmp_tm-a,,,5011,116,,,,
KRT_Saturday-5_in_nmp_tm-a,,,5010,117,,,,
KRT_Saturday-5_in_nmp_tm-a,,,3104,118,,,,
KRT_Saturday-5_in_nmp_tm-a,,,3103,119,,,,
KRT_Saturday-5_in_nmp_tm-a,6:57:00,6:57:00,3009,120,,,,
KRT_Saturday-5_in_nmp_tm-a,,,3031,121,,,,
KRT_Saturday-5_in_nmp_tm-a,,,3030,122,,,,
KRT_Saturday-5_in_nmp_tm-a,,,3029,123,,,,
KRT_Saturday-5_in_nmp_tm-a,,,3028,124,,,,
KRT_Saturday-5_in_nmp_tm-a,,,3027,125,,,,
KRT_Saturday-5_in_nmp_tm-a,,,3026,126,,,,
KRT_Saturday-5_in_nmp_tm-a,,,3025,127,,,,
KRT_Saturday-5_in_nmp_tm-a,,,3024,128,,,,
KRT_Saturday-5_in_nmp_tm-a,,,3023,129,,,,
KRT_Saturday-5_in_nmp_tm-a,,,3083,130,,,,
KRT_Saturday-5_in_nmp_tm-a,,,3084,131,,,,
KRT_Saturday-5_in_nmp_tm-a,,,3085,132,,,,
KRT_Saturday-5_in_nmp_tm-a,,,3086,133,,,,
KRT_Saturday-5_in_nmp_tm-a,,,3087,134,,,,
KRT_Saturday-5_in_nmp_tm-a,,,3088,135,,,,
KRT_Saturday-5_in_nmp_tm-a,7:15:00,7:15:00,1,136,,,,
KRT_Saturday-5_in_nmp_tm-b,7:20:00,7:20:00,3006,100,,,,
KRT_Saturday-5_in_nmp_tm-b,,,3081,101,,,,
KRT_Saturday-5_in_nmp_tm-b,,,3082,102,,,,
KRT_Saturday-5_in_nmp_tm-b,,,3077,103,,,,
KRT_Saturday-5_in_nmp_tm-b,,,3076,104,,,,
KRT_Saturday-5_in_nmp_tm-b,,,3075,105,,,,
KRT_Saturday-5_in_nmp_tm-b,7:32:00,7:32:00,5002,106,,,,
KRT_Saturday-5_in_nmp_tm-b,,,5019,107,,,,
KRT_Saturday-5_in_nmp_tm-b,,,5018,108,,,,
KRT_Saturday-5_in_nmp_tm-b,,,5017,109,,,,
KRT_Saturday-5_in_nmp_tm-b,,,5016,110,,,,
KRT_Saturday-5_in_nmp_tm-b,7:45:00,7:45:00,5001,111,,,,
KRT_Saturday-5_in_nmp_tm-b,,,5015,112,,,,
KRT_Saturday-5_in_nmp_tm-b,,,5014,113,,,,
KRT_Saturday-5_in_nmp_tm-b,,,5013,114,,,,
KRT_Saturday-5_in_nmp_tm-b,,,5012,115,,,,
KRT_Saturday-5_in_nmp_tm-b,,,5011,116,,,,
KRT_Saturday-5_in_nmp_tm-b,,,5010,117,,,,
KRT_Saturday-5_in_nmp_tm-b,,,3104,118,,,,
KRT_Saturday-5_in_nmp_tm-b,,,3103,119,,,,
KRT_Saturday-5_in_nmp_tm-b,7:57:00,7:57:00,3009,120,,,,
KRT_Saturday-5_in_nmp_tm-b,,,3031,121,,,,
KRT_Saturday-5_in_nmp_tm-b,,,3030,122,,,,
KRT_Saturday-5_in_nmp_tm-b,,,3029,123,,,,
KRT_Saturday-5_in_nmp_tm-b,,,3028,124,,,,
KRT_Saturday-5_in_nmp_tm-b,,,3027,125,,,,
KRT_Saturday-5_in_nmp_tm-b,,,3026,126,,,,
KRT_Saturday-5_in_nmp_tm-b,,,3025,127,,,,
KRT_Saturday-5_in_nmp_tm-b,,,3024,128,,,,
KRT_Saturday-5_in_nmp_tm-b,,,3023,129,,,,
KRT_Saturday-5_in_nmp_tm-b,,,3083,130,,,,
KRT_Saturday-5_in_nmp_tm-b,,,3084,131,,,,
KRT_Saturday-5_in_nmp_tm-b,,,3085,132,,,,
KRT_Saturday-5_in_nmp_tm-b,,,3086,133,,,,
KRT_Saturday-5_in_nmp_tm-b,,,3087,134,,,,
KRT_Saturday-5_in_nmp_tm-b,,,3088,135,,,,
KRT_Saturday-5_in_nmp_tm-b,8:15:00,8:15:00,1,136,,,,
KRT_Saturday-5_in_nmp_tm-c,8:20:00,8:20:00,3006,100,,,,
KRT_Saturday-5_in_nmp_tm-c,,,3081,101,,,,
KRT_Saturday-5_in_nmp_tm-c,,,3082,102,,,,
KRT_Saturday-5_in_nmp_tm-c,,,3077,103,,,,
KRT_Saturday-5_in_nmp_tm-c,,,3076,104,,,,
KRT_Saturday-5_in_nmp_tm-c,,,3075,105,,,,
KRT_Saturday-5_in_nmp_tm-c,8:32:00,8:32:00,5002,106,,,,
KRT_Saturday-5_in_nmp_tm-c,,,5019,107,,,,
KRT_Saturday-5_in_nmp_tm-c,,,5018,108,,,,
KRT_Saturday-5_in_nmp_tm-c,,,5017,109,,,,
KRT_Saturday-5_in_nmp_tm-c,,,5016,110,,,,
KRT_Saturday-5_in_nmp_tm-c,8:45:00,8:45:00,5001,111,,,,
KRT_Saturday-5_in_nmp_tm-c,,,5015,112,,,,
KRT_Saturday-5_in_nmp_tm-c,,,5014,113,,,,
KRT_Saturday-5_in_nmp_tm-c,,,5013,114,,,,
KRT_Saturday-5_in_nmp_tm-c,,,5012,115,,,,
KRT_Saturday-5_in_nmp_tm-c,,,5011,116,,,,
KRT_Saturday-5_in_nmp_tm-c,,,5010,117,,,,
KRT_Saturday-5_in_nmp_tm-c,,,3104,118,,,,
KRT_Saturday-5_in_nmp_tm-c,,,3103,119,,,,
KRT_Saturday-5_in_nmp_tm-c,8:57:00,8:57:00,3009,120,,,,
KRT_Saturday-5_in_nmp_tm-c,,,3031,121,,,,
KRT_Saturday-5_in_nmp_tm-c,,,3030,122,,,,
KRT_Saturday-5_in_nmp_tm-c,,,3029,123,,,,
KRT_Saturday-5_in_nmp_tm-c,,,3028,124,,,,
KRT_Saturday-5_in_nmp_tm-c,,,3027,125,,,,
KRT_Saturday-5_in_nmp_tm-c,,,3026,126,,,,
KRT_Saturday-5_in_nmp_tm-c,,,3025,127,,,,
KRT_Saturday-5_in_nmp_tm-c,,,3024,128,,,,
KRT_Saturday-5_in_nmp_tm-c,,,3023,129,,,,
KRT_Saturday-5_in_nmp_tm-c,,,3083,130,,,,
KRT_Saturday-5_in_nmp_tm-c,,,3084,131,,,,
KRT_Saturday-5_in_nmp_tm-c,,,3085,132,,,,
KRT_Saturday-5_in_nmp_tm-c,,,3086,133,,,,
KRT_Saturday-5_in_nmp_tm-c,,,3087,134,,,,
