shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
R1_out_OrdPk_60-35, 38.351838, -81.635520, 1, 0.00
R1_out_OrdPk_60-35, 38.351682, -81.635744, 2, 0.02
R1_out_OrdPk_60-35, 38.351435, -81.636205, 3, 0.05
R1_out_OrdPk_60-35, 38.351294, -81.636506, 4, 0.07
R1_out_OrdPk_60-35, 38.351269, -81.636647, 5, 0.07
R1_out_OrdPk_60-35, 38.352028, -81.637487, 6, 0.14
R1_out_OrdPk_60-35, 38.353172, -81.638925, 7, 0.25
R1_out_OrdPk_60-35, 38.354335, -81.640473, 8, 0.37
R1_out_OrdPk_60-35, 38.355539, -81.642107, 9, 0.49
R1_out_OrdPk_60-35, 38.356270, -81.642820, 10, 0.56
R1_out_OrdPk_60-35, 38.357024, -81.643484, 11, 0.62
R1_out_OrdPk_60-35, 38.357907, -81.644307, 12, 0.69
R1_out_OrdPk_60-35, 38.360122, -81.646074, 13, 0.87
R1_out_OrdPk_60-35, 38.361588, -81.647258, 14, 0.99
R1_out_OrdPk_60-35, 38.362346, -81.647874, 15, 1.06
R1_out_OrdPk_60-35, 38.361903, -81.648798, 16, 1.12
R1_out_OrdPk_60-35, 38.361984, -81.648888, 17, 1.12
R1_out_OrdPk_60-35, 38.362592, -81.650188, 18, 1.20
R1_out_OrdPk_60-35, 38.364573, -81.654332, 19, 1.47
R1_out_OrdPk_60-35, 38.365450, -81.656148, 20, 1.58
R1_out_OrdPk_60-35, 38.366545, -81.658404, 21, 1.73
R1_out_OrdPk_60-35, 38.366916, -81.659306, 22, 1.78
R1_out_OrdPk_60-35, 38.366837, -81.659999, 23, 1.82
R1_out_OrdPk_60-35, 38.366898, -81.660228, 24, 1.83
R1_out_OrdPk_60-35, 38.366962, -81.660370, 25, 1.84
R1_out_OrdPk_60-35, 38.368535, -81.663725, 26, 2.05
R1_out_OrdPk_60-35, 38.369742, -81.666331, 27, 2.22
R1_out_OrdPk_60-35, 38.369303, -81.666676, 28, 2.25
R1_out_OrdPk_60-35, 38.368019, -81.667487, 29, 2.35
R1_out_OrdPk_60-35, 38.366621, -81.668333, 30, 2.46
