trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Sunday-22m_in-a,5:20:00,5:20:00,22004,100,,,,
KRT_Sunday-22m_in-a,,,22044,101,,,,
KRT_Sunday-22m_in-a,,,22043,102,,,,
KRT_Sunday-22m_in-a,,,22042,103,,,,
KRT_Sunday-22m_in-a,,,22041,104,,,,
KRT_Sunday-22m_in-a,,,22040,105,,,,
KRT_Sunday-22m_in-a,,,22039,106,,,,
KRT_Sunday-22m_in-a,,,22038,107,,,,
KRT_Sunday-22m_in-a,,,22037,108,,,,
KRT_Sunday-22m_in-a,5:35:00,5:35:00,22003,109,,,,
KRT_Sunday-22m_in-a,,,22036,110,,,,
KRT_Sunday-22m_in-a,,,22035,111,,,,
KRT_Sunday-22m_in-a,,,22034,112,,,,
KRT_Sunday-22m_in-a,5:42:00,5:42:00,22002,113,,,,
KRT_Sunday-22m_in-a,,,2060,114,,,,
KRT_Sunday-22m_in-a,,,2061,115,,,,
KRT_Sunday-22m_in-a,5:45:00,5:45:00,2006,116,,,,
KRT_Sunday-22m_in-a,,,2061,117,,,,
KRT_Sunday-22m_in-a,,,2060,118,,,,
KRT_Sunday-22m_in-a,,,22033,119,,,,
KRT_Sunday-22m_in-a,,,22032,120,,,,
KRT_Sunday-22m_in-a,,,22031,121,,,,
KRT_Sunday-22m_in-a,,,22030,122,,,,
KRT_Sunday-22m_in-a,,,22029,123,,,,
KRT_Sunday-22m_in-a,,,22028,124,,,,
KRT_Sunday-22m_in-a,,,22027,125,,,,
KRT_Sunday-22m_in-a,,,22026,126,,,,
KRT_Sunday-22m_in-a,,,22025,127,,,,
KRT_Sunday-22m_in-a,,,22024,128,,,,
KRT_Sunday-22m_in-a,,,22023,129,,,,
KRT_Sunday-22m_in-a,,,22022,130,,,,
KRT_Sunday-22m_in-a,,,22021,131,,,,
KRT_Sunday-22m_in-a,,,22020,132,,,,
KRT_Sunday-22m_in-a,,,22019,133,,,,
KRT_Sunday-22m_in-a,,,22018,134,,,,
KRT_Sunday-22m_in-a,,,22017,135,,,,
KRT_Sunday-22m_in-a,,,22016,136,,,,
KRT_Sunday-22m_in-a,,,22015,137,,,,
KRT_Sunday-22m_in-a,6:05:00,6:05:00,22001,138,,,,
KRT_Sunday-22m_in-a,,,7016,139,,,,
KRT_Sunday-22m_in-a,,,22014,140,,,,
KRT_Sunday-22m_in-a,,,22013,141,,,,
KRT_Sunday-22m_in-a,,,22012,142,,,,
KRT_Sunday-22m_in-a,,,22011,143,,,,
KRT_Sunday-22m_in-a,,,22010,144,,,,
KRT_Sunday-22m_in-a,,,2020,145,,,,
KRT_Sunday-22m_in-a,,,2019,146,,,,
KRT_Sunday-22m_in-a,6:12:00,6:12:00,2001,147,,,,
KRT_Sunday-22m_in-a,,,3010,148,,,,
KRT_Sunday-22m_in-a,,,3011,149,,,,
KRT_Sunday-22m_in-a,,,3012,150,,,,
KRT_Sunday-22m_in-a,,,3013,151,,,,
KRT_Sunday-22m_in-a,,,3014,152,,,,
KRT_Sunday-22m_in-a,,,3015,153,,,,
KRT_Sunday-22m_in-a,6:30:00,6:30:00,2,154,,,,
KRT_Sunday-22m_in-b,10:00:00,10:00:00,22004,100,,,,
KRT_Sunday-22m_in-b,,,22044,101,,,,
KRT_Sunday-22m_in-b,,,22043,102,,,,
KRT_Sunday-22m_in-b,,,22042,103,,,,
KRT_Sunday-22m_in-b,,,22041,104,,,,
KRT_Sunday-22m_in-b,,,22040,105,,,,
KRT_Sunday-22m_in-b,,,22039,106,,,,
KRT_Sunday-22m_in-b,,,22038,107,,,,
KRT_Sunday-22m_in-b,,,22037,108,,,,
KRT_Sunday-22m_in-b,10:18:00,10:18:00,22003,109,,,,
KRT_Sunday-22m_in-b,,,22036,110,,,,
KRT_Sunday-22m_in-b,,,22035,111,,,,
KRT_Sunday-22m_in-b,,,22034,112,,,,
KRT_Sunday-22m_in-b,10:25:00,10:25:00,22002,113,,,,
KRT_Sunday-22m_in-b,,,2060,114,,,,
KRT_Sunday-22m_in-b,,,2061,115,,,,
KRT_Sunday-22m_in-b,10:28:00,10:28:00,2006,116,,,,
KRT_Sunday-22m_in-b,,,2061,117,,,,
KRT_Sunday-22m_in-b,,,2060,118,,,,
KRT_Sunday-22m_in-b,,,22033,119,,,,
KRT_Sunday-22m_in-b,,,22032,120,,,,
KRT_Sunday-22m_in-b,,,22031,121,,,,
KRT_Sunday-22m_in-b,,,22030,122,,,,
KRT_Sunday-22m_in-b,,,22029,123,,,,
KRT_Sunday-22m_in-b,,,22028,124,,,,
KRT_Sunday-22m_in-b,,,22027,125,,,,
KRT_Sunday-22m_in-b,,,22026,126,,,,
KRT_Sunday-22m_in-b,,,22025,127,,,,
KRT_Sunday-22m_in-b,,,22024,128,,,,
KRT_Sunday-22m_in-b,,,22023,129,,,,
KRT_Sunday-22m_in-b,,,22022,130,,,,
KRT_Sunday-22m_in-b,,,22021,131,,,,
KRT_Sunday-22m_in-b,,,22020,132,,,,
KRT_Sunday-22m_in-b,,,22019,133,,,,
KRT_Sunday-22m_in-b,,,22018,134,,,,
KRT_Sunday-22m_in-b,,,22017,135,,,,
KRT_Sunday-22m_in-b,,,22016,136,,,,
KRT_Sunday-22m_in-b,,,22015,137,,,,
KRT_Sunday-22m_in-b,10:45:00,10:45:00,22001,138,,,,
KRT_Sunday-22m_in-b,,,7016,139,,,,
KRT_Sunday-22m_in-b,,,22014,140,,,,
KRT_Sunday-22m_in-b,,,22013,141,,,,
KRT_Sunday-22m_in-b,,,22012,142,,,,
KRT_Sunday-22m_in-b,,,22011,143,,,,
KRT_Sunday-22m_in-b,,,22010,144,,,,
KRT_Sunday-22m_in-b,,,2020,145,,,,
KRT_Sunday-22m_in-b,,,2019,146,,,,
KRT_Sunday-22m_in-b,10:55:00,10:55:00,2001,147,,,,
KRT_Sunday-22m_in-b,,,3010,148,,,,
KRT_Sunday-22m_in-b,,,3011,149,,,,
KRT_Sunday-22m_in-b,,,3012,150,,,,
KRT_Sunday-22m_in-b,,,3013,151,,,,
KRT_Sunday-22m_in-b,,,3014,152,,,,
KRT_Sunday-22m_in-b,,,3015,153,,,,
KRT_Sunday-22m_in-b,11:10:00,11:10:00,2,154,,,,
KRT_Sunday-22m_in-c,13:25:00,13:25:00,22004,100,,,,
KRT_Sunday-22m_in-c,,,22044,101,,,,
KRT_Sunday-22m_in-c,,,22043,102,,,,
KRT_Sunday-22m_in-c,,,22042,103,,,,
KRT_Sunday-22m_in-c,,,22041,104,,,,
KRT_Sunday-22m_in-c,,,22040,105,,,,
KRT_Sunday-22m_in-c,,,22039,106,,,,
KRT_Sunday-22m_in-c,,,22038,107,,,,
KRT_Sunday-22m_in-c,,,22037,108,,,,
KRT_Sunday-22m_in-c,13:43:00,13:43:00,22003,109,,,,
KRT_Sunday-22m_in-c,,,22036,110,,,,
KRT_Sunday-22m_in-c,,,22035,111,,,,
KRT_Sunday-22m_in-c,,,22034,112,,,,
KRT_Sunday-22m_in-c,13:50:00,13:50:00,22002,113,,,,
KRT_Sunday-22m_in-c,,,2060,114,,,,
KRT_Sunday-22m_in-c,,,2061,115,,,,
KRT_Sunday-22m_in-c,13:53:00,13:53:00,2006,116,,,,
KRT_Sunday-22m_in-c,,,2061,117,,,,
KRT_Sunday-22m_in-c,,,2060,118,,,,
KRT_Sunday-22m_in-c,,,22033,119,,,,
KRT_Sunday-22m_in-c,,,22032,120,,,,
KRT_Sunday-22m_in-c,,,22031,121,,,,
KRT_Sunday-22m_in-c,,,22030,122,,,,
KRT_Sunday-22m_in-c,,,22029,123,,,,
KRT_Sunday-22m_in-c,,,22028,124,,,,
KRT_Sunday-22m_in-c,,,22027,125,,,,
KRT_Sunday-22m_in-c,,,22026,126,,,,
KRT_Sunday-22m_in-c,,,22025,127,,,,
KRT_Sunday-22m_in-c,,,22024,128,,,,
KRT_Sunday-22m_in-c,,,22023,129,,,,
KRT_Sunday-22m_in-c,,,22022,130,,,,
KRT_Sunday-22m_in-c,,,22021,131,,,,
KRT_Sunday-22m_in-c,,,22020,132,,,,
KRT_Sunday-22m_in-c,,,22019,133,,,,
KRT_Sunday-22m_in-c,,,22018,134,,,,
KRT_Sunday-22m_in-c,,,22017,135,,,,
KRT_Sunday-22m_in-c,,,22016,136,,,,
KRT_Sunday-22m_in-c,,,22015,137,,,,
KRT_Sunday-22m_in-c,14:08:00,14:08:00,22001,138,,,,
KRT_Sunday-22m_in-c,,,7016,139,,,,
KRT_Sunday-22m_in-c,,,22014,140,,,,
KRT_Sunday-22m_in-c,,,22013,141,,,,
KRT_Sunday-22m_in-c,,,22012,142,,,,
KRT_Sunday-22m_in-c,,,22011,143,,,,
KRT_Sunday-22m_in-c,,,22010,144,,,,
KRT_Sunday-22m_in-c,,,2020,145,,,,
KRT_Sunday-22m_in-c,,,2019,146,,,,
KRT_Sunday-22m_in-c,14:16:00,14:16:00,2001,147,,,,
KRT_Sunday-22m_in-c,,,3010,148,,,,
KRT_Sunday-22m_in-c,,,3011,149,,,,
KRT_Sunday-22m_in-c,,,3012,150,,,,
KRT_Sunday-22m_in-c,,,3013,151,,,,
KRT_Sunday-22m_in-c,,,3014,152,,,,
KRT_Sunday-22m_in-c,,,3015,153,,,,
KRT_Sunday-22m_in-c,14:30:00,14:30:00,2,154,,,,
KRT_Sunday-22m_in-d,18:18:00,18:18:00,22004,100,,,,
KRT_Sunday-22m_in-d,,,22044,101,,,,
KRT_Sunday-22m_in-d,,,22043,102,,,,
KRT_Sunday-22m_in-d,,,22042,103,,,,
KRT_Sunday-22m_in-d,,,22041,104,,,,
KRT_Sunday-22m_in-d,,,22040,105,,,,
KRT_Sunday-22m_in-d,,,22039,106,,,,
KRT_Sunday-22m_in-d,,,22038,107,,,,
KRT_Sunday-22m_in-d,,,22037,108,,,,
KRT_Sunday-22m_in-d,18:33:00,18:33:00,22003,109,,,,
KRT_Sunday-22m_in-d,,,22036,110,,,,
KRT_Sunday-22m_in-d,,,22035,111,,,,
KRT_Sunday-22m_in-d,,,22034,112,,,,
KRT_Sunday-22m_in-d,18:40:00,18:40:00,22002,113,,,,
KRT_Sunday-22m_in-d,,,2060,114,,,,
KRT_Sunday-22m_in-d,,,2061,115,,,,
KRT_Sunday-22m_in-d,18:43:00,18:43:00,2006,116,,,,
KRT_Sunday-22m_in-d,,,2061,117,,,,
KRT_Sunday-22m_in-d,,,2060,118,,,,
KRT_Sunday-22m_in-d,,,22033,119,,,,
KRT_Sunday-22m_in-d,,,22032,120,,,,
KRT_Sunday-22m_in-d,,,22031,121,,,,
KRT_Sunday-22m_in-d,,,22030,122,,,,
KRT_Sunday-22m_in-d,,,22029,123,,,,
KRT_Sunday-22m_in-d,,,22028,124,,,,
KRT_Sunday-22m_in-d,,,22027,125,,,,
KRT_Sunday-22m_in-d,,,22026,126,,,,
KRT_Sunday-22m_in-d,,,22025,127,,,,
KRT_Sunday-22m_in-d,,,22024,128,,,,
KRT_Sunday-22m_in-d,,,22023,129,,,,
KRT_Sunday-22m_in-d,,,22022,130,,,,
KRT_Sunday-22m_in-d,,,22021,131,,,,
KRT_Sunday-22m_in-d,,,22020,132,,,,
KRT_Sunday-22m_in-d,,,22019,133,,,,
KRT_Sunday-22m_in-d,,,22018,134,,,,
KRT_Sunday-22m_in-d,,,22017,135,,,,
KRT_Sunday-22m_in-d,,,22016,136,,,,
KRT_Sunday-22m_in-d,,,22015,137,,,,
KRT_Sunday-22m_in-d,18:55:00,18:55:00,22001,138,,,,
KRT_Sunday-22m_in-d,,,7016,139,,,,
KRT_Sunday-22m_in-d,,,22014,140,,,,
KRT_Sunday-22m_in-d,,,22013,141,,,,
KRT_Sunday-22m_in-d,,,22012,142,,,,
KRT_Sunday-22m_in-d,,,22011,143,,,,
KRT_Sunday-22m_in-d,,,22010,144,,,,
KRT_Sunday-22m_in-d,,,2020,145,,,,
KRT_Sunday-22m_in-d,,,2019,146,,,,
KRT_Sunday-22m_in-d,19:02:00,19:02:00,2001,147,,,,
KRT_Sunday-22m_in-d,,,3010,148,,,,
KRT_Sunday-22m_in-d,,,3011,149,,,,
KRT_Sunday-22m_in-d,,,3012,150,,,,
KRT_Sunday-22m_in-d,,,3013,151,,,,
KRT_Sunday-22m_in-d,,,3014,152,,,,
KRT_Sunday-22m_in-d,,,3015,153,,,,
KRT_Sunday-22m_in-d,19:15:00,19:15:00,2,154,,,,
KRT_Sunday-22m_in-e,20:15:00,20:15:00,22004,100,,,,
KRT_Sunday-22m_in-e,,,22044,101,,,,
KRT_Sunday-22m_in-e,,,22043,102,,,,
KRT_Sunday-22m_in-e,,,22042,103,,,,
KRT_Sunday-22m_in-e,,,22041,104,,,,
KRT_Sunday-22m_in-e,,,22040,105,,,,
KRT_Sunday-22m_in-e,,,22039,106,,,,
KRT_Sunday-22m_in-e,,,22038,107,,,,
KRT_Sunday-22m_in-e,,,22037,108,,,,
KRT_Sunday-22m_in-e,20:28:00,20:28:00,22003,109,,,,
KRT_Sunday-22m_in-e,,,22036,110,,,,
KRT_Sunday-22m_in-e,,,22035,111,,,,
KRT_Sunday-22m_in-e,,,22034,112,,,,
KRT_Sunday-22m_in-e,20:35:00,20:35:00,22002,113,,,,
KRT_Sunday-22m_in-e,,,2060,114,,,,
KRT_Sunday-22m_in-e,,,2061,115,,,,
KRT_Sunday-22m_in-e,20:38:00,20:38:00,2006,116,,,,
KRT_Sunday-22m_in-e,,,2061,117,,,,
KRT_Sunday-22m_in-e,,,2060,118,,,,
KRT_Sunday-22m_in-e,,,22033,119,,,,
KRT_Sunday-22m_in-e,,,22032,120,,,,
KRT_Sunday-22m_in-e,,,22031,121,,,,
KRT_Sunday-22m_in-e,,,22030,122,,,,
KRT_Sunday-22m_in-e,,,22029,123,,,,
KRT_Sunday-22m_in-e,,,22028,124,,,,
KRT_Sunday-22m_in-e,,,22027,125,,,,
KRT_Sunday-22m_in-e,,,22026,126,,,,
KRT_Sunday-22m_in-e,,,22025,127,,,,
KRT_Sunday-22m_in-e,,,22024,128,,,,
KRT_Sunday-22m_in-e,,,22023,129,,,,
KRT_Sunday-22m_in-e,,,22022,130,,,,
KRT_Sunday-22m_in-e,,,22021,131,,,,
KRT_Sunday-22m_in-e,,,22020,132,,,,
KRT_Sunday-22m_in-e,,,22019,133,,,,
KRT_Sunday-22m_in-e,,,22018,134,,,,
KRT_Sunday-22m_in-e,,,22017,135,,,,
KRT_Sunday-22m_in-e,,,22016,136,,,,
KRT_Sunday-22m_in-e,,,22015,137,,,,
KRT_Sunday-22m_in-e,20:52:00,20:52:00,22001,138,,,,
KRT_Sunday-22m_in-e,,,7016,139,,,,
KRT_Sunday-22m_in-e,,,22014,140,,,,
KRT_Sunday-22m_in-e,,,22013,141,,,,
KRT_Sunday-22m_in-e,,,22012,142,,,,
KRT_Sunday-22m_in-e,,,22011,143,,,,
KRT_Sunday-22m_in-e,,,22010,144,,,,
KRT_Sunday-22m_in-e,,,2020,145,,,,
KRT_Sunday-22m_in-e,,,2019,146,,,,
KRT_Sunday-22m_in-e,20:59:00,20:59:00,2001,147,,,,
KRT_Sunday-22m_in-e,,,3010,148,,,,
KRT_Sunday-22m_in-e,,,3011,149,,,,
KRT_Sunday-22m_in-e,,,3012,150,,,,
KRT_Sunday-22m_in-e,,,3013,151,,,,
KRT_Sunday-22m_in-e,,,3014,152,,,,
KRT_Sunday-22m_in-e,,,3015,153,,,,
KRT_Sunday-22m_in-e,21:15:00,21:15:00,2,154,,,,
