trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Sunday-2cc_out_tm_qw-a,7:15:00,7:15:00,2,100,,,,
KRT_Sunday-2cc_out_tm_qw-a,,,2010,101,,,,
KRT_Sunday-2cc_out_tm_qw-a,,,2011,102,,,,
KRT_Sunday-2cc_out_tm_qw-a,,,2012,103,,,,
KRT_Sunday-2cc_out_tm_qw-a,,,2013,104,,,,
KRT_Sunday-2cc_out_tm_qw-a,,,2014,105,,,,
KRT_Sunday-2cc_out_tm_qw-a,,,2015,106,,,,
KRT_Sunday-2cc_out_tm_qw-a,,,2016,107,,,,
KRT_Sunday-2cc_out_tm_qw-a,,,2017,108,,,,
KRT_Sunday-2cc_out_tm_qw-a,,,2018,109,,,,
KRT_Sunday-2cc_out_tm_qw-a,7:27:00,7:27:00,2001,110,,,,
KRT_Sunday-2cc_out_tm_qw-a,,,2019,111,,,,
KRT_Sunday-2cc_out_tm_qw-a,,,2020,112,,,,
KRT_Sunday-2cc_out_tm_qw-a,,,2021,113,,,,
KRT_Sunday-2cc_out_tm_qw-a,,,2022,114,,,,
KRT_Sunday-2cc_out_tm_qw-a,,,2023,115,,,,
KRT_Sunday-2cc_out_tm_qw-a,,,2024,116,,,,
KRT_Sunday-2cc_out_tm_qw-a,,,2025,117,,,,
KRT_Sunday-2cc_out_tm_qw-a,,,2026,118,,,,
KRT_Sunday-2cc_out_tm_qw-a,,,2027,119,,,,
KRT_Sunday-2cc_out_tm_qw-a,,,2028,120,,,,
KRT_Sunday-2cc_out_tm_qw-a,,,2029,121,,,,
KRT_Sunday-2cc_out_tm_qw-a,,,2030,122,,,,
KRT_Sunday-2cc_out_tm_qw-a,,,2031,123,,,,
KRT_Sunday-2cc_out_tm_qw-a,,,2032,124,,,,
KRT_Sunday-2cc_out_tm_qw-a,7:38:00,7:38:00,2003,125,,,,
KRT_Sunday-2cc_out_tm_qw-a,,,2038,126,,,,
KRT_Sunday-2cc_out_tm_qw-a,,,2039,127,,,,
KRT_Sunday-2cc_out_tm_qw-a,,,2040,128,,,,
KRT_Sunday-2cc_out_tm_qw-a,,,2041,129,,,,
KRT_Sunday-2cc_out_tm_qw-a,,,2042,130,,,,
KRT_Sunday-2cc_out_tm_qw-a,,,2043,131,,,,
KRT_Sunday-2cc_out_tm_qw-a,,,2044,132,,,,
KRT_Sunday-2cc_out_tm_qw-a,,,2045,133,,,,
KRT_Sunday-2cc_out_tm_qw-a,,,2046,134,,,,
KRT_Sunday-2cc_out_tm_qw-a,,,2047,135,,,,
KRT_Sunday-2cc_out_tm_qw-a,7:48:00,7:48:00,2004,136,,,,
KRT_Sunday-2cc_out_tm_qw-a,,,2048,137,,,,
KRT_Sunday-2cc_out_tm_qw-a,,,2049,138,,,,
KRT_Sunday-2cc_out_tm_qw-a,,,2050,139,,,,
KRT_Sunday-2cc_out_tm_qw-a,,,2051,140,,,,
