trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Sunday-3n_in_mgr_sas_tm-a,16:13:00,16:13:00,3007,100,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3080,101,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,16:18:00,16:18:00,3006,102,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3081,103,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3082,104,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3077,105,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3076,106,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3075,107,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3074,108,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3073,109,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3072,110,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3071,111,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3070,112,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3069,113,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3068,114,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3067,115,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,16:28:00,16:28:00,3005,116,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3066,117,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3065,118,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3064,119,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3063,120,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3062,121,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3061,122,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3060,123,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3059,124,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3058,125,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3057,126,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3056,127,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3055,128,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3054,129,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3053,130,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3052,131,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3051,132,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3050,133,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,16:40:00,16:40:00,1004,134,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3050,135,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3051,136,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3049,137,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3048,138,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3047,139,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3046,140,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,16:52:00,16:52:00,3008,141,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3045,142,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3044,143,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3043,144,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3042,145,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3041,146,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3040,147,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3039,148,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,17:00:00,17:00:00,3003,149,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3038,150,,,,
KRT_Sunday-3n_in_mgr_sas_tm-a,,,3037,151,,,,
