trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Weekday-11_out_tm_pm_os-a,7:00:00,7:00:00,4,10,,,,
KRT_Weekday-11_out_tm_pm_os-a,,,2010,11,,,,
KRT_Weekday-11_out_tm_pm_os-a,,,2011,12,,,,
KRT_Weekday-11_out_tm_pm_os-a,,,2012,13,,,,
KRT_Weekday-11_out_tm_pm_os-a,,,11010,14,,,,
KRT_Weekday-11_out_tm_pm_os-a,7:06:00,7:06:00,11001,15,,,,
KRT_Weekday-11_out_tm_pm_os-a,,,11011,16,,,,
KRT_Weekday-11_out_tm_pm_os-a,,,3100,17,,,,
KRT_Weekday-11_out_tm_pm_os-a,,,3101,18,,,,
KRT_Weekday-11_out_tm_pm_os-a,,,3102,19,,,,
KRT_Weekday-11_out_tm_pm_os-a,7:12:00,7:12:00,3001,20,,,,
KRT_Weekday-11_out_tm_pm_os-a,,,2018,21,,,,
KRT_Weekday-11_out_tm_pm_os-a,,,6010,22,,,,
KRT_Weekday-11_out_tm_pm_os-a,,,6011,23,,,,
KRT_Weekday-11_out_tm_pm_os-a,,,11012,24,,,,
KRT_Weekday-11_out_tm_pm_os-a,,,11013,25,,,,
KRT_Weekday-11_out_tm_pm_os-a,,,11014,26,,,,
KRT_Weekday-11_out_tm_pm_os-a,,,11015,27,,,,
KRT_Weekday-11_out_tm_pm_os-a,7:25:00,7:25:00,11002,28,,,,
KRT_Weekday-11_out_tm_pm_os-b,8:00:00,8:00:00,4,10,,,,
KRT_Weekday-11_out_tm_pm_os-b,,,2010,11,,,,
KRT_Weekday-11_out_tm_pm_os-b,,,2011,12,,,,
KRT_Weekday-11_out_tm_pm_os-b,,,2012,13,,,,
KRT_Weekday-11_out_tm_pm_os-b,,,11010,14,,,,
KRT_Weekday-11_out_tm_pm_os-b,8:06:00,8:06:00,11001,15,,,,
KRT_Weekday-11_out_tm_pm_os-b,,,11011,16,,,,
KRT_Weekday-11_out_tm_pm_os-b,,,3100,17,,,,
KRT_Weekday-11_out_tm_pm_os-b,,,3101,18,,,,
KRT_Weekday-11_out_tm_pm_os-b,,,3102,19,,,,
KRT_Weekday-11_out_tm_pm_os-b,8:12:00,8:12:00,3001,20,,,,
KRT_Weekday-11_out_tm_pm_os-b,,,2018,21,,,,
KRT_Weekday-11_out_tm_pm_os-b,,,6010,22,,,,
KRT_Weekday-11_out_tm_pm_os-b,,,6011,23,,,,
KRT_Weekday-11_out_tm_pm_os-b,,,11012,24,,,,
KRT_Weekday-11_out_tm_pm_os-b,,,11013,25,,,,
KRT_Weekday-11_out_tm_pm_os-b,,,11014,26,,,,
KRT_Weekday-11_out_tm_pm_os-b,,,11015,27,,,,
KRT_Weekday-11_out_tm_pm_os-b,8:25:00,8:25:00,11002,28,,,,
KRT_Weekday-11_out_tm_pm_os-c,9:00:00,9:00:00,4,10,,,,
KRT_Weekday-11_out_tm_pm_os-c,,,2010,11,,,,
KRT_Weekday-11_out_tm_pm_os-c,,,2011,12,,,,
KRT_Weekday-11_out_tm_pm_os-c,,,2012,13,,,,
KRT_Weekday-11_out_tm_pm_os-c,,,11010,14,,,,
KRT_Weekday-11_out_tm_pm_os-c,9:06:00,9:06:00,11001,15,,,,
KRT_Weekday-11_out_tm_pm_os-c,,,11011,16,,,,
KRT_Weekday-11_out_tm_pm_os-c,,,3100,17,,,,
KRT_Weekday-11_out_tm_pm_os-c,,,3101,18,,,,
KRT_Weekday-11_out_tm_pm_os-c,,,3102,19,,,,
KRT_Weekday-11_out_tm_pm_os-c,9:12:00,9:12:00,3001,20,,,,
KRT_Weekday-11_out_tm_pm_os-c,,,2018,21,,,,
KRT_Weekday-11_out_tm_pm_os-c,,,6010,22,,,,
KRT_Weekday-11_out_tm_pm_os-c,,,6011,23,,,,
