trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Weekday-18_in_rw_sctc_tm-a,11:22:00,11:22:00,18006,10,,,,
KRT_Weekday-18_in_rw_sctc_tm-a,,,1036,11,,,,
KRT_Weekday-18_in_rw_sctc_tm-a,,,1035,12,,,,
KRT_Weekday-18_in_rw_sctc_tm-a,11:26:00,11:26:00,18005,13,,,,
KRT_Weekday-18_in_rw_sctc_tm-a,,,18027,14,,,,
KRT_Weekday-18_in_rw_sctc_tm-a,,,18026,15,,,,
KRT_Weekday-18_in_rw_sctc_tm-a,,,18025,16,,,,
KRT_Weekday-18_in_rw_sctc_tm-a,,,18023,17,,,,
KRT_Weekday-18_in_rw_sctc_tm-a,,,18024,18,,,,
KRT_Weekday-18_in_rw_sctc_tm-a,11:34:00,11:34:00,18004,19,,,,
KRT_Weekday-18_in_rw_sctc_tm-a,,,18024,20,,,,
KRT_Weekday-18_in_rw_sctc_tm-a,,,18023,21,,,,
KRT_Weekday-18_in_rw_sctc_tm-a,,,18025,22,,,,
KRT_Weekday-18_in_rw_sctc_tm-a,,,18026,23,,,,
KRT_Weekday-18_in_rw_sctc_tm-a,,,18027,24,,,,
KRT_Weekday-18_in_rw_sctc_tm-a,,,1034,25,,,,
KRT_Weekday-18_in_rw_sctc_tm-a,,,1084,26,,,,
KRT_Weekday-18_in_rw_sctc_tm-a,,,1032,27,,,,
KRT_Weekday-18_in_rw_sctc_tm-a,,,1031,28,,,,
KRT_Weekday-18_in_rw_sctc_tm-a,,,1085,29,,,,
KRT_Weekday-18_in_rw_sctc_tm-a,,,1020,30,,,,
KRT_Weekday-18_in_rw_sctc_tm-a,,,1001,31,,,,
KRT_Weekday-18_in_rw_sctc_tm-a,,,1019,32,,,,
KRT_Weekday-18_in_rw_sctc_tm-a,,,1018,33,,,,
KRT_Weekday-18_in_rw_sctc_tm-a,,,1017,34,,,,
KRT_Weekday-18_in_rw_sctc_tm-a,,,1016,35,,,,
KRT_Weekday-18_in_rw_sctc_tm-a,,,1015,36,,,,
KRT_Weekday-18_in_rw_sctc_tm-a,,,1025,37,,,,
KRT_Weekday-18_in_rw_sctc_tm-a,,,1026,38,,,,
KRT_Weekday-18_in_rw_sctc_tm-a,,,1027,39,,,,
KRT_Weekday-18_in_rw_sctc_tm-a,,,1028,40,,,,
KRT_Weekday-18_in_rw_sctc_tm-a,,,1029,41,,,,
KRT_Weekday-18_in_rw_sctc_tm-a,11:54:00,11:54:00,3,42,,,,
