trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Weekday-18_in_rw_tm-a,9:47:00,9:47:00,18006,10,,,,
KRT_Weekday-18_in_rw_tm-a,,,1036,11,,,,
KRT_Weekday-18_in_rw_tm-a,,,1035,12,,,,
KRT_Weekday-18_in_rw_tm-a,9:51:00,9:51:00,18005,13,,,,
KRT_Weekday-18_in_rw_tm-a,,,18027,14,,,,
KRT_Weekday-18_in_rw_tm-a,,,18026,15,,,,
KRT_Weekday-18_in_rw_tm-a,,,18025,16,,,,
KRT_Weekday-18_in_rw_tm-a,,,18023,17,,,,
KRT_Weekday-18_in_rw_tm-a,,,18024,18,,,,
KRT_Weekday-18_in_rw_tm-a,9:59:00,9:59:00,18004,19,,,,
KRT_Weekday-18_in_rw_tm-a,,,18024,20,,,,
KRT_Weekday-18_in_rw_tm-a,,,18023,21,,,,
KRT_Weekday-18_in_rw_tm-a,,,18022,22,,,,
KRT_Weekday-18_in_rw_tm-a,,,18021,23,,,,
KRT_Weekday-18_in_rw_tm-a,10:06:00,10:06:00,18003,24,,,,
KRT_Weekday-18_in_rw_tm-a,,,18020,25,,,,
KRT_Weekday-18_in_rw_tm-a,,,18019,26,,,,
KRT_Weekday-18_in_rw_tm-a,,,18018,27,,,,
KRT_Weekday-18_in_rw_tm-a,,,18017,28,,,,
KRT_Weekday-18_in_rw_tm-a,,,18016,29,,,,
KRT_Weekday-18_in_rw_tm-a,,,18015,30,,,,
KRT_Weekday-18_in_rw_tm-a,,,18028,31,,,,
KRT_Weekday-18_in_rw_tm-a,,,18029,32,,,,
KRT_Weekday-18_in_rw_tm-a,10:11:00,10:11:00,18002,33,,,,
KRT_Weekday-18_in_rw_tm-a,,,18014,34,,,,
KRT_Weekday-18_in_rw_tm-a,,,18013,35,,,,
KRT_Weekday-18_in_rw_tm-a,,,18012,36,,,,
KRT_Weekday-18_in_rw_tm-a,,,18011,37,,,,
KRT_Weekday-18_in_rw_tm-a,10:19:00,10:19:00,18001,38,,,,
KRT_Weekday-18_in_rw_tm-a,,,18010,39,,,,
KRT_Weekday-18_in_rw_tm-a,,,3087,40,,,,
KRT_Weekday-18_in_rw_tm-a,,,3088,41,,,,
KRT_Weekday-18_in_rw_tm-a,10:29:00,10:29:00,3,42,,,,
