trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Weekday-1sa_in_sas_tm_kanter-a,5:10:00,5:10:00,1004,10,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1068,11,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1067,12,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1066,13,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1065,14,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1064,15,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1063,16,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1062,17,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1061,18,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1060,19,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1059,20,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1058,21,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1057,22,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1056,23,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1055,24,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1054,25,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1053,26,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1052,27,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1051,28,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1050,29,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1049,30,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1048,31,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1047,32,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1046,33,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1045,34,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1044,35,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1043,36,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,5:30:00,5:30:00,1003,37,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1042,38,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1041,39,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1040,40,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1039,41,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1082,42,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1083,43,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1036,44,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1035,45,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1034,46,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1084,47,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1032,48,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1031,49,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1085,50,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1020,51,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,5:43:00,5:43:00,1001,52,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1019,53,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1018,54,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1017,55,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1016,56,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1015,57,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1025,58,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1026,59,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1027,60,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1028,61,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,,,1029,62,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-a,5:55:00,5:55:00,2,63,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,5:45:00,5:45:00,1004,10,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1068,11,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1067,12,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1066,13,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1065,14,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1064,15,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1063,16,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1062,17,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1061,18,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1060,19,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1059,20,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1058,21,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1057,22,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1056,23,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1055,24,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1054,25,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1053,26,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1052,27,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1051,28,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1050,29,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1049,30,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1048,31,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1047,32,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1046,33,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1045,34,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1044,35,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1043,36,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,6:05:00,6:05:00,1003,37,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1042,38,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1041,39,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1040,40,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1039,41,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1082,42,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1083,43,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1036,44,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1035,45,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1034,46,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1084,47,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1032,48,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1031,49,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1085,50,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1020,51,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,6:18:00,6:18:00,1001,52,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1019,53,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1018,54,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1017,55,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1016,56,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1015,57,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1025,58,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1026,59,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1027,60,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1028,61,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,,,1029,62,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-b,6:30:00,6:30:00,2,63,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-c,6:00:00,6:00:00,1004,10,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-c,,,1068,11,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-c,,,1067,12,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-c,,,1066,13,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-c,,,1065,14,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-c,,,1064,15,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-c,,,1063,16,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-c,,,1062,17,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-c,,,1061,18,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-c,,,1060,19,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-c,,,1059,20,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-c,,,1058,21,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-c,,,1057,22,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-c,,,1056,23,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-c,,,1055,24,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-c,,,1054,25,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-c,,,1053,26,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-c,,,1052,27,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-c,,,1051,28,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-c,,,1050,29,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-c,,,1049,30,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-c,,,1048,31,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-c,,,1047,32,,,,
KRT_Weekday-1sa_in_sas_tm_kanter-c,,,1046,33,,,,
