trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Weekday-1sa_in_sas_tm_ord-a,7:30:00,7:30:00,1004,10,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,3050,11,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1081,12,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1080,13,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1079,14,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1078,15,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1077,16,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1076,17,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1075,18,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1074,19,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1054,20,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1053,21,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1052,22,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1051,23,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1050,24,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1049,25,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1048,26,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1047,27,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1046,28,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1045,29,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1044,30,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1043,31,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,7:50:00,7:50:00,1003,32,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1042,33,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1041,34,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1040,35,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1039,36,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1082,37,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1083,38,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1036,39,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1035,40,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1034,41,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1084,42,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1032,43,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1031,44,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1085,45,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1020,46,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,8:03:00,8:03:00,1001,47,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1019,48,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1018,49,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1017,50,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1016,51,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1015,52,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1025,53,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1026,54,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1027,55,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1028,56,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,,,1029,57,,,,
KRT_Weekday-1sa_in_sas_tm_ord-a,8:15:00,8:15:00,2,58,,,,
KRT_Weekday-1sa_in_sas_tm_ord-b,18:00:00,18:00:00,1004,10,,,,
KRT_Weekday-1sa_in_sas_tm_ord-b,,,3050,11,,,,
KRT_Weekday-1sa_in_sas_tm_ord-b,,,1081,12,,,,
KRT_Weekday-1sa_in_sas_tm_ord-b,,,1080,13,,,,
KRT_Weekday-1sa_in_sas_tm_ord-b,,,1079,14,,,,
KRT_Weekday-1sa_in_sas_tm_ord-b,,,1078,15,,,,
KRT_Weekday-1sa_in_sas_tm_ord-b,,,1077,16,,,,
KRT_Weekday-1sa_in_sas_tm_ord-b,,,1076,17,,,,
KRT_Weekday-1sa_in_sas_tm_ord-b,,,1075,18,,,,
KRT_Weekday-1sa_in_sas_tm_ord-b,,,1074,19,,,,
KRT_Weekday-1sa_in_sas_tm_ord-b,,,1054,20,,,,
KRT_Weekday-1sa_in_sas_tm_ord-b,,,1053,21,,,,
KRT_Weekday-1sa_in_sas_tm_ord-b,,,1052,22,,,,
KRT_Weekday-1sa_in_sas_tm_ord-b,,,1051,23,,,,
KRT_Weekday-1sa_in_sas_tm_ord-b,,,1050,24,,,,
KRT_Weekday-1sa_in_sas_tm_ord-b,,,1049,25,,,,
KRT_Weekday-1sa_in_sas_tm_ord-b,,,1048,26,,,,
KRT_Weekday-1sa_in_sas_tm_ord-b,,,1047,27,,,,
KRT_Weekday-1sa_in_sas_tm_ord-b,,,1046,28,,,,
KRT_Weekday-1sa_in_sas_tm_ord-b,,,1045,29,,,,
KRT_Weekday-1sa_in_sas_tm_ord-b,,,1044,30,,,,
