trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Weekday-1sa_out_tm_sas_ord-a,6:30:00,6:30:00,1,0,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1010,1,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1011,2,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1012,3,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1013,4,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1014,5,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1015,6,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1016,7,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1017,8,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1018,9,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1019,10,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,6:42:00,6:42:00,1001,11,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1030,12,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1031,13,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1032,14,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1034,15,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1035,16,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1036,17,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1037,18,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1038,19,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1039,20,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1040,21,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1041,22,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1042,23,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,6:54:00,6:54:00,1003,24,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1043,25,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1044,26,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1045,27,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1046,28,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1047,29,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1048,30,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1049,31,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1050,32,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1051,33,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1052,34,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1053,35,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1054,36,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1074,37,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1075,38,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1076,39,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1077,40,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1078,41,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1079,42,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1080,43,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,1081,44,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,,,3050,45,,,,
KRT_Weekday-1sa_out_tm_sas_ord-a,7:14:00,7:14:00,1004,46,,,,
KRT_Weekday-1sa_out_tm_sas_ord-b,17:15:00,17:15:00,1,0,,,,
KRT_Weekday-1sa_out_tm_sas_ord-b,,,1010,1,,,,
KRT_Weekday-1sa_out_tm_sas_ord-b,,,1011,2,,,,
KRT_Weekday-1sa_out_tm_sas_ord-b,,,1012,3,,,,
KRT_Weekday-1sa_out_tm_sas_ord-b,,,1013,4,,,,
KRT_Weekday-1sa_out_tm_sas_ord-b,,,1014,5,,,,
KRT_Weekday-1sa_out_tm_sas_ord-b,,,1015,6,,,,
KRT_Weekday-1sa_out_tm_sas_ord-b,,,1016,7,,,,
KRT_Weekday-1sa_out_tm_sas_ord-b,,,1017,8,,,,
KRT_Weekday-1sa_out_tm_sas_ord-b,,,1018,9,,,,
KRT_Weekday-1sa_out_tm_sas_ord-b,,,1019,10,,,,
KRT_Weekday-1sa_out_tm_sas_ord-b,17:27:00,17:27:00,1001,11,,,,
KRT_Weekday-1sa_out_tm_sas_ord-b,,,1030,12,,,,
KRT_Weekday-1sa_out_tm_sas_ord-b,,,1031,13,,,,
KRT_Weekday-1sa_out_tm_sas_ord-b,,,1032,14,,,,
KRT_Weekday-1sa_out_tm_sas_ord-b,,,1034,15,,,,
KRT_Weekday-1sa_out_tm_sas_ord-b,,,1035,16,,,,
KRT_Weekday-1sa_out_tm_sas_ord-b,,,1036,17,,,,
KRT_Weekday-1sa_out_tm_sas_ord-b,,,1037,18,,,,
KRT_Weekday-1sa_out_tm_sas_ord-b,,,1038,19,,,,
KRT_Weekday-1sa_out_tm_sas_ord-b,,,1039,20,,,,
KRT_Weekday-1sa_out_tm_sas_ord-b,,,1040,21,,,,
KRT_Weekday-1sa_out_tm_sas_ord-b,,,1041,22,,,,
KRT_Weekday-1sa_out_tm_sas_ord-b,,,1042,23,,,,
KRT_Weekday-1sa_out_tm_sas_ord-b,17:39:00,17:39:00,1003,24,,,,
KRT_Weekday-1sa_out_tm_sas_ord-b,,,1043,25,,,,
KRT_Weekday-1sa_out_tm_sas_ord-b,,,1044,26,,,,
KRT_Weekday-1sa_out_tm_sas_ord-b,,,1045,27,,,,
