shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
R1_in_KanTer_LTM, 38.352165, -81.634971, 1, 0.00
R1_in_KanTer_LTM, 38.351661, -81.635759, 2, 0.06
R1_in_KanTer_LTM, 38.351286, -81.636377, 3, 0.10
R1_in_KanTer_LTM, 38.351106, -81.636883, 4, 0.13
R1_in_KanTer_LTM, 38.350606, -81.637608, 5, 0.18
R1_in_KanTer_LTM, 38.352221, -81.639599, 6, 0.34
R1_in_KanTer_LTM, 38.353611, -81.641281, 7, 0.47
R1_in_KanTer_LTM, 38.354916, -81.642785, 8, 0.59
R1_in_KanTer_LTM, 38.355962, -81.644001, 9, 0.69
R1_in_KanTer_LTM, 38.356363, -81.644396, 10, 0.72
R1_in_KanTer_LTM, 38.357265, -81.645044, 11, 0.79
R1_in_KanTer_LTM, 38.358941, -81.646407, 12, 0.93
R1_in_KanTer_LTM, 38.360179, -81.647390, 13, 1.03
R1_in_KanTer_LTM, 38.361486, -81.648462, 14, 1.14
R1_in_KanTer_LTM, 38.361903, -81.648798, 15, 1.17
R1_in_KanTer_LTM, 38.361984, -81.648888, 16, 1.18
R1_in_KanTer_LTM, 38.362592, -81.650188, 17, 1.26
R1_in_KanTer_LTM, 38.364573, -81.654332, 18, 1.53
R1_in_KanTer_LTM, 38.365450, -81.656148, 19, 1.64
R1_in_KanTer_LTM, 38.366545, -81.658404, 20, 1.79
R1_in_KanTer_LTM, 38.366916, -81.659306, 21, 1.84
R1_in_KanTer_LTM, 38.366837, -81.659999, 22, 1.88
R1_in_KanTer_LTM, 38.366898, -81.660228, 23, 1.89
R1_in_KanTer_LTM, 38.366962, -81.660370, 24, 1.90
R1_in_KanTer_LTM, 38.368535, -81.663725, 25, 2.11
R1_in_KanTer_LTM, 38.369741, -81.666332, 26, 2.28
R1_in_KanTer_LTM, 38.369070, -81.666844, 27, 2.33
R1_in_KanTer_LTM, 38.368467, -81.667209, 28, 2.38
R1_in_KanTer_LTM, 38.367395, -81.667875, 29, 2.46
R1_in_KanTer_LTM, 38.364561, -81.669610, 30, 2.68
R1_in_KanTer_LTM, 38.363727, -81.670139, 31, 2.74
R1_in_KanTer_LTM, 38.363509, -81.670296, 32, 2.76
R1_in_KanTer_LTM, 38.363318, -81.670667, 33, 2.78
R1_in_KanTer_LTM, 38.363290, -81.671016, 34, 2.80
R1_in_KanTer_LTM, 38.363307, -81.671251, 35, 2.81
R1_in_KanTer_LTM, 38.364177, -81.674440, 36, 3.00
R1_in_KanTer_LTM, 38.364969, -81.677348, 37, 3.16
R1_in_KanTer_LTM, 38.365604, -81.679537, 38, 3.29
R1_in_KanTer_LTM, 38.366313, -81.681659, 39, 3.42
R1_in_KanTer_LTM, 38.367021, -81.683888, 40, 3.55
R1_in_KanTer_LTM, 38.367272, -81.684785, 41, 3.60
R1_in_KanTer_LTM, 38.367679, -81.686863, 42, 3.71
R1_in_KanTer_LTM, 38.368904, -81.693854, 43, 4.10
R1_in_KanTer_LTM, 38.369355, -81.696582, 44, 4.25
R1_in_KanTer_LTM, 38.369322, -81.697044, 45, 4.28
R1_in_KanTer_LTM, 38.369048, -81.697790, 46, 4.32
R1_in_KanTer_LTM, 38.367989, -81.700146, 47, 4.47
R1_in_KanTer_LTM, 38.366565, -81.703238, 48, 4.67
R1_in_KanTer_LTM, 38.365426, -81.705699, 49, 4.82
R1_in_KanTer_LTM, 38.364260, -81.708196, 50, 4.98
R1_in_KanTer_LTM, 38.364120, -81.708680, 51, 5.01
R1_in_KanTer_LTM, 38.364081, -81.709057, 52, 5.03
R1_in_KanTer_LTM, 38.364220, -81.710546, 53, 5.11
R1_in_KanTer_LTM, 38.364242, -81.710917, 54, 5.13
R1_in_KanTer_LTM, 38.364130, -81.711580, 55, 5.17
R1_in_KanTer_LTM, 38.363532, -81.712847, 56, 5.25
R1_in_KanTer_LTM, 38.363079, -81.713668, 57, 5.30
R1_in_KanTer_LTM, 38.362314, -81.714489, 58, 5.37
R1_in_KanTer_LTM, 38.361732, -81.714816, 59, 5.41
R1_in_KanTer_LTM, 38.360568, -81.715544, 60, 5.50
R1_in_KanTer_LTM, 38.360004, -81.715921, 61, 5.55
R1_in_KanTer_LTM, 38.359546, -81.716362, 62, 5.59
R1_in_KanTer_LTM, 38.359160, -81.716825, 63, 5.62
R1_in_KanTer_LTM, 38.358785, -81.717532, 64, 5.67
R1_in_KanTer_LTM, 38.358441, -81.718451, 65, 5.73
R1_in_KanTer_LTM, 38.358055, -81.720070, 66, 5.82
R1_in_KanTer_LTM, 38.357343, -81.721924, 67, 5.93
R1_in_KanTer_LTM, 38.356736, -81.723398, 68, 6.02
R1_in_KanTer_LTM, 38.355873, -81.725816, 69, 6.16
R1_in_KanTer_LTM, 38.355291, -81.727455, 70, 6.26
R1_in_KanTer_LTM, 38.354915, -81.728960, 71, 6.35
R1_in_KanTer_LTM, 38.354612, -81.730650, 72, 6.44
R1_in_KanTer_LTM, 38.354202, -81.733054, 73, 6.57
R1_in_KanTer_LTM, 38.353994, -81.734517, 74, 6.66
R1_in_KanTer_LTM, 38.353869, -81.735630, 75, 6.72
R1_in_KanTer_LTM, 38.353806, -81.737708, 76, 6.83
R1_in_KanTer_LTM, 38.353778, -81.739763, 77, 6.94
R1_in_KanTer_LTM, 38.353730, -81.744108, 78, 7.18
R1_in_KanTer_LTM, 38.353740, -81.745557, 79, 7.26
R1_in_KanTer_LTM, 38.353858, -81.746371, 80, 7.30
R1_in_KanTer_LTM, 38.354109, -81.747228, 81, 7.35
R1_in_KanTer_LTM, 38.354612, -81.748749, 82, 7.44
R1_in_KanTer_LTM, 38.355254, -81.750658, 83, 7.55
R1_in_KanTer_LTM, 38.355992, -81.752194, 84, 7.65
R1_in_KanTer_LTM, 38.356692, -81.753375, 85, 7.73
R1_in_KanTer_LTM, 38.358042, -81.755658, 86, 7.89
R1_in_KanTer_LTM, 38.359114, -81.757348, 87, 8.00
R1_in_KanTer_LTM, 38.360099, -81.758400, 88, 8.09
R1_in_KanTer_LTM, 38.362195, -81.760284, 89, 8.27
R1_in_KanTer_LTM, 38.363837, -81.761774, 90, 8.41
R1_in_KanTer_LTM, 38.366456, -81.764136, 91, 8.63
R1_in_KanTer_LTM, 38.367936, -81.765487, 92, 8.76
R1_in_KanTer_LTM, 38.368974, -81.766508, 93, 8.85
R1_in_KanTer_LTM, 38.369724, -81.767487, 94, 8.92
R1_in_KanTer_LTM, 38.370706, -81.769092, 95, 9.03
R1_in_KanTer_LTM, 38.372031, -81.771353, 96, 9.18
R1_in_KanTer_LTM, 38.372488, -81.772194, 97, 9.24
R1_in_KanTer_LTM, 38.373070, -81.773741, 98, 9.33
R1_in_KanTer_LTM, 38.373968, -81.776115, 99, 9.48
R1_in_KanTer_LTM, 38.374284, -81.776993, 100, 9.53
R1_in_KanTer_LTM, 38.374488, -81.777638, 101, 9.57
R1_in_KanTer_LTM, 38.374833, -81.779485, 102, 9.67
R1_in_KanTer_LTM, 38.374783, -81.780148, 103, 9.71
R1_in_KanTer_LTM, 38.374721, -81.780460, 104, 9.72
R1_in_KanTer_LTM, 38.374414, -81.781308, 105, 9.77
R1_in_KanTer_LTM, 38.374381, -81.781547, 106, 9.79
R1_in_KanTer_LTM, 38.374522, -81.782940, 107, 9.86
R1_in_KanTer_LTM, 38.374572, -81.783534, 108, 9.90
R1_in_KanTer_LTM, 38.374578, -81.784947, 109, 9.97
R1_in_KanTer_LTM, 38.374613, -81.785710, 110, 10.01
R1_in_KanTer_LTM, 38.374683, -81.786389, 111, 10.05
R1_in_KanTer_LTM, 38.374970, -81.787708, 112, 10.13
R1_in_KanTer_LTM, 38.375095, -81.789170, 113, 10.20
R1_in_KanTer_LTM, 38.375199, -81.790616, 114, 10.28
R1_in_KanTer_LTM, 38.375289, -81.791847, 115, 10.35
R1_in_KanTer_LTM, 38.375344, -81.792977, 116, 10.41
