trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Weekday-23_out-a,5:30:00,5:30:00,1,10,,,,
KRT_Weekday-23_out-a,,,1010,11,,,,
KRT_Weekday-23_out-a,,,19010,12,,,,
KRT_Weekday-23_out-a,,,3018,13,,,,
KRT_Weekday-23_out-a,,,19012,14,,,,
KRT_Weekday-23_out-a,,,19013,15,,,,
KRT_Weekday-23_out-a,,,19015,16,,,,
KRT_Weekday-23_out-a,,,23010,17,,,,
KRT_Weekday-23_out-a,,,23012,18,,,,
KRT_Weekday-23_out-a,5:39:00,5:39:00,23001,19,,,,
KRT_Weekday-23_out-a,,,23014,20,,,,
KRT_Weekday-23_out-a,,,23015,21,,,,
KRT_Weekday-23_out-a,,,23016,22,,,,
KRT_Weekday-23_out-a,5:42:00,5:42:00,23002,23,,,,
KRT_Weekday-23_out-a,,,23017,24,,,,
KRT_Weekday-23_out-a,,,23018,25,,,,
KRT_Weekday-23_out-a,,,23019,26,,,,
KRT_Weekday-23_out-a,,,23020,27,,,,
KRT_Weekday-23_out-a,5:49:00,5:49:00,23003,28,,,,
KRT_Weekday-23_out-a,,,23022,29,,,,
KRT_Weekday-23_out-a,,,23023,30,,,,
KRT_Weekday-23_out-a,,,23024,31,,,,
KRT_Weekday-23_out-a,5:57:00,5:57:00,23004,32,,,,
KRT_Weekday-23_out-a,,,6022,33,,,,
KRT_Weekday-23_out-a,,,6023,34,,,,
KRT_Weekday-23_out-a,6:02:00,6:02:00,6005,35,,,,
KRT_Weekday-23_out-a,,,6023,36,,,,
KRT_Weekday-23_out-a,,,6022,37,,,,
KRT_Weekday-23_out-a,6:07:00,6:07:00,23004,38,,,,
KRT_Weekday-23_out-a,,,23026,39,,,,
KRT_Weekday-23_out-a,,,23027,40,,,,
KRT_Weekday-23_out-a,,,23028,41,,,,
KRT_Weekday-23_out-a,6:15:00,6:15:00,23005,42,,,,
KRT_Weekday-23_out-a,,,23029,43,,,,
