trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Weekday-2kc_out_tm_skm-a,5:40:00,5:40:00,2,10,,,,
KRT_Weekday-2kc_out_tm_skm-a,,,2010,11,,,,
KRT_Weekday-2kc_out_tm_skm-a,,,2011,12,,,,
KRT_Weekday-2kc_out_tm_skm-a,,,2012,13,,,,
KRT_Weekday-2kc_out_tm_skm-a,,,2013,14,,,,
KRT_Weekday-2kc_out_tm_skm-a,,,2014,15,,,,
KRT_Weekday-2kc_out_tm_skm-a,,,2015,16,,,,
KRT_Weekday-2kc_out_tm_skm-a,,,2016,17,,,,
KRT_Weekday-2kc_out_tm_skm-a,,,2017,18,,,,
KRT_Weekday-2kc_out_tm_skm-a,,,2018,19,,,,
KRT_Weekday-2kc_out_tm_skm-a,5:50:00,5:50:00,2001,20,,,,
KRT_Weekday-2kc_out_tm_skm-a,,,2019,21,,,,
KRT_Weekday-2kc_out_tm_skm-a,,,2020,22,,,,
KRT_Weekday-2kc_out_tm_skm-a,,,2021,23,,,,
KRT_Weekday-2kc_out_tm_skm-a,,,2022,24,,,,
KRT_Weekday-2kc_out_tm_skm-a,,,2023,25,,,,
KRT_Weekday-2kc_out_tm_skm-a,,,2024,26,,,,
KRT_Weekday-2kc_out_tm_skm-a,,,2025,27,,,,
KRT_Weekday-2kc_out_tm_skm-a,,,2026,28,,,,
KRT_Weekday-2kc_out_tm_skm-a,,,2027,29,,,,
KRT_Weekday-2kc_out_tm_skm-a,,,2028,30,,,,
KRT_Weekday-2kc_out_tm_skm-a,,,2029,31,,,,
KRT_Weekday-2kc_out_tm_skm-a,,,2030,32,,,,
KRT_Weekday-2kc_out_tm_skm-a,,,2031,33,,,,
KRT_Weekday-2kc_out_tm_skm-a,,,2032,34,,,,
KRT_Weekday-2kc_out_tm_skm-a,6:03:00,6:03:00,2002,35,,,,
KRT_Weekday-2kc_out_tm_skm-b,7:30:00,7:30:00,2,10,,,,
KRT_Weekday-2kc_out_tm_skm-b,,,2010,11,,,,
KRT_Weekday-2kc_out_tm_skm-b,,,2011,12,,,,
KRT_Weekday-2kc_out_tm_skm-b,,,2012,13,,,,
KRT_Weekday-2kc_out_tm_skm-b,,,2013,14,,,,
KRT_Weekday-2kc_out_tm_skm-b,,,2014,15,,,,
KRT_Weekday-2kc_out_tm_skm-b,,,2015,16,,,,
KRT_Weekday-2kc_out_tm_skm-b,,,2016,17,,,,
KRT_Weekday-2kc_out_tm_skm-b,,,2017,18,,,,
KRT_Weekday-2kc_out_tm_skm-b,,,2018,19,,,,
KRT_Weekday-2kc_out_tm_skm-b,7:42:00,7:42:00,2001,20,,,,
KRT_Weekday-2kc_out_tm_skm-b,,,2019,21,,,,
KRT_Weekday-2kc_out_tm_skm-b,,,2020,22,,,,
KRT_Weekday-2kc_out_tm_skm-b,,,2021,23,,,,
KRT_Weekday-2kc_out_tm_skm-b,,,2022,24,,,,
KRT_Weekday-2kc_out_tm_skm-b,,,2023,25,,,,
KRT_Weekday-2kc_out_tm_skm-b,,,2024,26,,,,
KRT_Weekday-2kc_out_tm_skm-b,,,2025,27,,,,
KRT_Weekday-2kc_out_tm_skm-b,,,2026,28,,,,
KRT_Weekday-2kc_out_tm_skm-b,,,2027,29,,,,
KRT_Weekday-2kc_out_tm_skm-b,,,2028,30,,,,
KRT_Weekday-2kc_out_tm_skm-b,,,2029,31,,,,
KRT_Weekday-2kc_out_tm_skm-b,,,2030,32,,,,
KRT_Weekday-2kc_out_tm_skm-b,,,2031,33,,,,
KRT_Weekday-2kc_out_tm_skm-b,,,2032,34,,,,
KRT_Weekday-2kc_out_tm_skm-b,7:53:00,7:53:00,2002,35,,,,
KRT_Weekday-2kc_out_tm_skm-c,8:30:00,8:30:00,2,10,,,,
KRT_Weekday-2kc_out_tm_skm-c,,,2010,11,,,,
KRT_Weekday-2kc_out_tm_skm-c,,,2011,12,,,,
KRT_Weekday-2kc_out_tm_skm-c,,,2012,13,,,,
KRT_Weekday-2kc_out_tm_skm-c,,,2013,14,,,,
KRT_Weekday-2kc_out_tm_skm-c,,,2014,15,,,,
KRT_Weekday-2kc_out_tm_skm-c,,,2015,16,,,,
KRT_Weekday-2kc_out_tm_skm-c,,,2016,17,,,,
KRT_Weekday-2kc_out_tm_skm-c,,,2017,18,,,,
KRT_Weekday-2kc_out_tm_skm-c,,,2018,19,,,,
KRT_Weekday-2kc_out_tm_skm-c,8:42:00,8:42:00,2001,20,,,,
KRT_Weekday-2kc_out_tm_skm-c,,,2019,21,,,,
KRT_Weekday-2kc_out_tm_skm-c,,,2020,22,,,,
KRT_Weekday-2kc_out_tm_skm-c,,,2021,23,,,,
KRT_Weekday-2kc_out_tm_skm-c,,,2022,24,,,,
KRT_Weekday-2kc_out_tm_skm-c,,,2023,25,,,,
KRT_Weekday-2kc_out_tm_skm-c,,,2024,26,,,,
KRT_Weekday-2kc_out_tm_skm-c,,,2025,27,,,,
KRT_Weekday-2kc_out_tm_skm-c,,,2026,28,,,,
KRT_Weekday-2kc_out_tm_skm-c,,,2027,29,,,,
KRT_Weekday-2kc_out_tm_skm-c,,,2028,30,,,,
KRT_Weekday-2kc_out_tm_skm-c,,,2029,31,,,,
KRT_Weekday-2kc_out_tm_skm-c,,,2030,32,,,,
KRT_Weekday-2kc_out_tm_skm-c,,,2031,33,,,,
KRT_Weekday-2kc_out_tm_skm-c,,,2032,34,,,,
KRT_Weekday-2kc_out_tm_skm-c,8:53:00,8:53:00,2002,35,,,,
KRT_Weekday-2kc_out_tm_skm-d,9:30:00,9:30:00,2,10,,,,
KRT_Weekday-2kc_out_tm_skm-d,,,2010,11,,,,
KRT_Weekday-2kc_out_tm_skm-d,,,2011,12,,,,
KRT_Weekday-2kc_out_tm_skm-d,,,2012,13,,,,
KRT_Weekday-2kc_out_tm_skm-d,,,2013,14,,,,
KRT_Weekday-2kc_out_tm_skm-d,,,2014,15,,,,
KRT_Weekday-2kc_out_tm_skm-d,,,2015,16,,,,
KRT_Weekday-2kc_out_tm_skm-d,,,2016,17,,,,
KRT_Weekday-2kc_out_tm_skm-d,,,2017,18,,,,
KRT_Weekday-2kc_out_tm_skm-d,,,2018,19,,,,
KRT_Weekday-2kc_out_tm_skm-d,9:42:00,9:42:00,2001,20,,,,
KRT_Weekday-2kc_out_tm_skm-d,,,2019,21,,,,
KRT_Weekday-2kc_out_tm_skm-d,,,2020,22,,,,
KRT_Weekday-2kc_out_tm_skm-d,,,2021,23,,,,
KRT_Weekday-2kc_out_tm_skm-d,,,2022,24,,,,
KRT_Weekday-2kc_out_tm_skm-d,,,2023,25,,,,
KRT_Weekday-2kc_out_tm_skm-d,,,2024,26,,,,
KRT_Weekday-2kc_out_tm_skm-d,,,2025,27,,,,
KRT_Weekday-2kc_out_tm_skm-d,,,2026,28,,,,
KRT_Weekday-2kc_out_tm_skm-d,,,2027,29,,,,
KRT_Weekday-2kc_out_tm_skm-d,,,2028,30,,,,
KRT_Weekday-2kc_out_tm_skm-d,,,2029,31,,,,
KRT_Weekday-2kc_out_tm_skm-d,,,2030,32,,,,
KRT_Weekday-2kc_out_tm_skm-d,,,2031,33,,,,
KRT_Weekday-2kc_out_tm_skm-d,,,2032,34,,,,
KRT_Weekday-2kc_out_tm_skm-d,9:53:00,9:53:00,2002,35,,,,
KRT_Weekday-2kc_out_tm_skm-e,10:30:00,10:30:00,2,10,,,,
KRT_Weekday-2kc_out_tm_skm-e,,,2010,11,,,,
KRT_Weekday-2kc_out_tm_skm-e,,,2011,12,,,,
KRT_Weekday-2kc_out_tm_skm-e,,,2012,13,,,,
KRT_Weekday-2kc_out_tm_skm-e,,,2013,14,,,,
KRT_Weekday-2kc_out_tm_skm-e,,,2014,15,,,,
KRT_Weekday-2kc_out_tm_skm-e,,,2015,16,,,,
KRT_Weekday-2kc_out_tm_skm-e,,,2016,17,,,,
KRT_Weekday-2kc_out_tm_skm-e,,,2017,18,,,,
KRT_Weekday-2kc_out_tm_skm-e,,,2018,19,,,,
KRT_Weekday-2kc_out_tm_skm-e,10:42:00,10:42:00,2001,20,,,,
KRT_Weekday-2kc_out_tm_skm-e,,,2019,21,,,,
KRT_Weekday-2kc_out_tm_skm-e,,,2020,22,,,,
KRT_Weekday-2kc_out_tm_skm-e,,,2021,23,,,,
