trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Weekday-3i_in_26_cap-a,6:59:00,6:59:00,3009,10,,,,
KRT_Weekday-3i_in_26_cap-a,,,3031,11,,,,
KRT_Weekday-3i_in_26_cap-a,,,3030,12,,,,
KRT_Weekday-3i_in_26_cap-a,,,3029,13,,,,
KRT_Weekday-3i_in_26_cap-a,,,3028,14,,,,
KRT_Weekday-3i_in_26_cap-a,,,3027,15,,,,
KRT_Weekday-3i_in_26_cap-a,,,3026,16,,,,
KRT_Weekday-3i_in_26_cap-a,,,3025,17,,,,
KRT_Weekday-3i_in_26_cap-a,,,3024,18,,,,
KRT_Weekday-3i_in_26_cap-a,,,3023,19,,,,
KRT_Weekday-3i_in_26_cap-a,,,3083,20,,,,
KRT_Weekday-3i_in_26_cap-a,,,3084,21,,,,
KRT_Weekday-3i_in_26_cap-a,,,3085,22,,,,
KRT_Weekday-3i_in_26_cap-a,,,3086,23,,,,
KRT_Weekday-3i_in_26_cap-a,,,3087,24,,,,
KRT_Weekday-3i_in_26_cap-a,,,3088,25,,,,
KRT_Weekday-3i_in_26_cap-a,7:16:00,7:16:00,1,26,,,,
KRT_Weekday-3i_in_26_cap-a,,,3089,27,,,,
KRT_Weekday-3i_in_26_cap-a,,,3090,28,,,,
KRT_Weekday-3i_in_26_cap-a,,,3091,29,,,,
KRT_Weekday-3i_in_26_cap-a,,,3092,30,,,,
KRT_Weekday-3i_in_26_cap-a,,,3093,31,,,,
KRT_Weekday-3i_in_26_cap-a,,,3094,32,,,,
KRT_Weekday-3i_in_26_cap-a,,,3095,33,,,,
KRT_Weekday-3i_in_26_cap-a,,,3096,34,,,,
KRT_Weekday-3i_in_26_cap-a,,,3097,35,,,,
KRT_Weekday-3i_in_26_cap-a,,,3098,36,,,,
KRT_Weekday-3i_in_26_cap-a,,,3099,37,,,,
KRT_Weekday-3i_in_26_cap-a,,,3100,38,,,,
KRT_Weekday-3i_in_26_cap-a,,,3101,39,,,,
KRT_Weekday-3i_in_26_cap-a,,,3102,40,,,,
KRT_Weekday-3i_in_26_cap-a,7:28:00,7:28:00,3001,41,,,,
KRT_Weekday-3i_in_26_cap-b,7:59:00,7:59:00,3009,10,,,,
KRT_Weekday-3i_in_26_cap-b,,,3031,11,,,,
KRT_Weekday-3i_in_26_cap-b,,,3030,12,,,,
KRT_Weekday-3i_in_26_cap-b,,,3029,13,,,,
KRT_Weekday-3i_in_26_cap-b,,,3028,14,,,,
KRT_Weekday-3i_in_26_cap-b,,,3027,15,,,,
KRT_Weekday-3i_in_26_cap-b,,,3026,16,,,,
KRT_Weekday-3i_in_26_cap-b,,,3025,17,,,,
KRT_Weekday-3i_in_26_cap-b,,,3024,18,,,,
KRT_Weekday-3i_in_26_cap-b,,,3023,19,,,,
KRT_Weekday-3i_in_26_cap-b,,,3083,20,,,,
KRT_Weekday-3i_in_26_cap-b,,,3084,21,,,,
KRT_Weekday-3i_in_26_cap-b,,,3085,22,,,,
KRT_Weekday-3i_in_26_cap-b,,,3086,23,,,,
KRT_Weekday-3i_in_26_cap-b,,,3087,24,,,,
KRT_Weekday-3i_in_26_cap-b,,,3088,25,,,,
KRT_Weekday-3i_in_26_cap-b,8:16:00,8:16:00,1,26,,,,
KRT_Weekday-3i_in_26_cap-b,,,3089,27,,,,
KRT_Weekday-3i_in_26_cap-b,,,3090,28,,,,
KRT_Weekday-3i_in_26_cap-b,,,3091,29,,,,
KRT_Weekday-3i_in_26_cap-b,,,3092,30,,,,
KRT_Weekday-3i_in_26_cap-b,,,3093,31,,,,
KRT_Weekday-3i_in_26_cap-b,,,3094,32,,,,
KRT_Weekday-3i_in_26_cap-b,,,3095,33,,,,
KRT_Weekday-3i_in_26_cap-b,,,3096,34,,,,
KRT_Weekday-3i_in_26_cap-b,,,3097,35,,,,
KRT_Weekday-3i_in_26_cap-b,,,3098,36,,,,
KRT_Weekday-3i_in_26_cap-b,,,3099,37,,,,
KRT_Weekday-3i_in_26_cap-b,,,3100,38,,,,
KRT_Weekday-3i_in_26_cap-b,,,3101,39,,,,
KRT_Weekday-3i_in_26_cap-b,,,3102,40,,,,
KRT_Weekday-3i_in_26_cap-b,8:28:00,8:28:00,3001,41,,,,
KRT_Weekday-3i_in_26_cap-c,8:59:00,8:59:00,3009,10,,,,
KRT_Weekday-3i_in_26_cap-c,,,3031,11,,,,
KRT_Weekday-3i_in_26_cap-c,,,3030,12,,,,
KRT_Weekday-3i_in_26_cap-c,,,3029,13,,,,
KRT_Weekday-3i_in_26_cap-c,,,3028,14,,,,
KRT_Weekday-3i_in_26_cap-c,,,3027,15,,,,
KRT_Weekday-3i_in_26_cap-c,,,3026,16,,,,
KRT_Weekday-3i_in_26_cap-c,,,3025,17,,,,
KRT_Weekday-3i_in_26_cap-c,,,3024,18,,,,
KRT_Weekday-3i_in_26_cap-c,,,3023,19,,,,
KRT_Weekday-3i_in_26_cap-c,,,3083,20,,,,
KRT_Weekday-3i_in_26_cap-c,,,3084,21,,,,
KRT_Weekday-3i_in_26_cap-c,,,3085,22,,,,
KRT_Weekday-3i_in_26_cap-c,,,3086,23,,,,
KRT_Weekday-3i_in_26_cap-c,,,3087,24,,,,
