trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Weekday-3i_in_StockWash_cap-a,11:41:00,11:41:00,3028,10,,,,
KRT_Weekday-3i_in_StockWash_cap-a,,,3027,11,,,,
KRT_Weekday-3i_in_StockWash_cap-a,,,3026,12,,,,
KRT_Weekday-3i_in_StockWash_cap-a,,,3025,13,,,,
KRT_Weekday-3i_in_StockWash_cap-a,,,3024,14,,,,
KRT_Weekday-3i_in_StockWash_cap-a,,,3023,15,,,,
KRT_Weekday-3i_in_StockWash_cap-a,,,3083,16,,,,
KRT_Weekday-3i_in_StockWash_cap-a,,,3084,17,,,,
KRT_Weekday-3i_in_StockWash_cap-a,,,3085,18,,,,
KRT_Weekday-3i_in_StockWash_cap-a,,,3086,19,,,,
KRT_Weekday-3i_in_StockWash_cap-a,,,3087,20,,,,
KRT_Weekday-3i_in_StockWash_cap-a,,,3088,21,,,,
KRT_Weekday-3i_in_StockWash_cap-a,11:50:00,11:50:00,1,22,,,,
KRT_Weekday-3i_in_StockWash_cap-a,,,3089,23,,,,
KRT_Weekday-3i_in_StockWash_cap-a,,,3090,24,,,,
KRT_Weekday-3i_in_StockWash_cap-a,,,3091,25,,,,
KRT_Weekday-3i_in_StockWash_cap-a,,,3092,26,,,,
KRT_Weekday-3i_in_StockWash_cap-a,,,3093,27,,,,
KRT_Weekday-3i_in_StockWash_cap-a,,,3094,28,,,,
KRT_Weekday-3i_in_StockWash_cap-a,,,3095,29,,,,
KRT_Weekday-3i_in_StockWash_cap-a,,,3096,30,,,,
KRT_Weekday-3i_in_StockWash_cap-a,,,3097,31,,,,
KRT_Weekday-3i_in_StockWash_cap-a,,,3098,32,,,,
KRT_Weekday-3i_in_StockWash_cap-a,,,3099,33,,,,
KRT_Weekday-3i_in_StockWash_cap-a,,,3100,34,,,,
KRT_Weekday-3i_in_StockWash_cap-a,,,3101,35,,,,
KRT_Weekday-3i_in_StockWash_cap-a,,,3102,36,,,,
KRT_Weekday-3i_in_StockWash_cap-a,12:03:00,12:03:00,3001,37,,,,
KRT_Weekday-3i_in_StockWash_cap-b,16:51:00,16:51:00,3028,10,,,,
KRT_Weekday-3i_in_StockWash_cap-b,,,3027,11,,,,
KRT_Weekday-3i_in_StockWash_cap-b,,,3026,12,,,,
KRT_Weekday-3i_in_StockWash_cap-b,,,3025,13,,,,
KRT_Weekday-3i_in_StockWash_cap-b,,,3024,14,,,,
KRT_Weekday-3i_in_StockWash_cap-b,,,3023,15,,,,
KRT_Weekday-3i_in_StockWash_cap-b,,,3083,16,,,,
KRT_Weekday-3i_in_StockWash_cap-b,,,3084,17,,,,
KRT_Weekday-3i_in_StockWash_cap-b,,,3085,18,,,,
KRT_Weekday-3i_in_StockWash_cap-b,,,3086,19,,,,
KRT_Weekday-3i_in_StockWash_cap-b,,,3087,20,,,,
KRT_Weekday-3i_in_StockWash_cap-b,,,3088,21,,,,
KRT_Weekday-3i_in_StockWash_cap-b,17:02:00,17:02:00,1,22,,,,
KRT_Weekday-3i_in_StockWash_cap-b,,,3089,23,,,,
KRT_Weekday-3i_in_StockWash_cap-b,,,3090,24,,,,
KRT_Weekday-3i_in_StockWash_cap-b,,,3091,25,,,,
KRT_Weekday-3i_in_StockWash_cap-b,,,3092,26,,,,
KRT_Weekday-3i_in_StockWash_cap-b,,,3093,27,,,,
KRT_Weekday-3i_in_StockWash_cap-b,,,3094,28,,,,
