trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Weekday-3i_in_wvsu_rox_cap-a,9:06:00,9:06:00,3008,10,,,,
KRT_Weekday-3i_in_wvsu_rox_cap-a,,,3045,11,,,,
KRT_Weekday-3i_in_wvsu_rox_cap-a,,,3044,12,,,,
KRT_Weekday-3i_in_wvsu_rox_cap-a,,,3043,13,,,,
KRT_Weekday-3i_in_wvsu_rox_cap-a,,,3042,14,,,,
KRT_Weekday-3i_in_wvsu_rox_cap-a,,,3041,15,,,,
KRT_Weekday-3i_in_wvsu_rox_cap-a,,,3040,16,,,,
KRT_Weekday-3i_in_wvsu_rox_cap-a,,,3039,17,,,,
KRT_Weekday-3i_in_wvsu_rox_cap-a,9:14:00,9:14:00,3003,18,,,,
KRT_Weekday-3i_in_wvsu_rox_cap-a,,,3109,19,,,,
KRT_Weekday-3i_in_wvsu_rox_cap-a,,,3108,20,,,,
KRT_Weekday-3i_in_wvsu_rox_cap-a,,,3107,21,,,,
KRT_Weekday-3i_in_wvsu_rox_cap-a,,,3106,22,,,,
KRT_Weekday-3i_in_wvsu_rox_cap-a,,,3105,23,,,,
KRT_Weekday-3i_in_wvsu_rox_cap-a,,,3104,24,,,,
KRT_Weekday-3i_in_wvsu_rox_cap-a,,,3103,25,,,,
KRT_Weekday-3i_in_wvsu_rox_cap-a,,,3034,26,,,,
KRT_Weekday-3i_in_wvsu_rox_cap-a,,,3033,27,,,,
KRT_Weekday-3i_in_wvsu_rox_cap-a,,,3032,28,,,,
KRT_Weekday-3i_in_wvsu_rox_cap-a,9:24:00,9:24:00,3009,29,,,,
KRT_Weekday-3i_in_wvsu_rox_cap-a,,,3031,30,,,,
KRT_Weekday-3i_in_wvsu_rox_cap-a,,,3030,31,,,,
KRT_Weekday-3i_in_wvsu_rox_cap-a,,,3029,32,,,,
KRT_Weekday-3i_in_wvsu_rox_cap-a,,,3028,33,,,,
KRT_Weekday-3i_in_wvsu_rox_cap-a,,,3027,34,,,,
KRT_Weekday-3i_in_wvsu_rox_cap-a,,,3026,35,,,,
KRT_Weekday-3i_in_wvsu_rox_cap-a,,,3025,36,,,,
KRT_Weekday-3i_in_wvsu_rox_cap-a,,,3024,37,,,,
KRT_Weekday-3i_in_wvsu_rox_cap-a,,,3023,38,,,,
KRT_Weekday-3i_in_wvsu_rox_cap-a,,,3022,39,,,,
KRT_Weekday-3i_in_wvsu_rox_cap-a,,,3021,40,,,,
KRT_Weekday-3i_in_wvsu_rox_cap-a,,,3020,41,,,,
KRT_Weekday-3i_in_wvsu_rox_cap-a,,,3019,42,,,,
KRT_Weekday-3i_in_wvsu_rox_cap-a,,,3018,43,,,,
KRT_Weekday-3i_in_wvsu_rox_cap-a,,,3017,44,,,,
KRT_Weekday-3i_in_wvsu_rox_cap-a,,,3016,45,,,,
