trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Weekday-3i_out_cap_wvsu-a,12:19:00,12:19:00,3001,10,,,,
KRT_Weekday-3i_out_cap_wvsu-a,,,2018,11,,,,
KRT_Weekday-3i_out_cap_wvsu-a,,,3010,12,,,,
KRT_Weekday-3i_out_cap_wvsu-a,,,3011,13,,,,
KRT_Weekday-3i_out_cap_wvsu-a,,,3012,14,,,,
KRT_Weekday-3i_out_cap_wvsu-a,,,3013,15,,,,
KRT_Weekday-3i_out_cap_wvsu-a,,,3014,16,,,,
KRT_Weekday-3i_out_cap_wvsu-a,,,3015,17,,,,
KRT_Weekday-3i_out_cap_wvsu-a,12:30:00,12:30:00,2,18,,,,
KRT_Weekday-3i_out_cap_wvsu-a,,,3016,19,,,,
KRT_Weekday-3i_out_cap_wvsu-a,,,3017,20,,,,
KRT_Weekday-3i_out_cap_wvsu-a,,,3018,21,,,,
KRT_Weekday-3i_out_cap_wvsu-a,,,3019,22,,,,
KRT_Weekday-3i_out_cap_wvsu-a,,,3020,23,,,,
KRT_Weekday-3i_out_cap_wvsu-a,,,3021,24,,,,
KRT_Weekday-3i_out_cap_wvsu-a,,,3022,25,,,,
KRT_Weekday-3i_out_cap_wvsu-a,,,3023,26,,,,
KRT_Weekday-3i_out_cap_wvsu-a,,,3024,27,,,,
KRT_Weekday-3i_out_cap_wvsu-a,,,3025,28,,,,
KRT_Weekday-3i_out_cap_wvsu-a,,,3026,29,,,,
KRT_Weekday-3i_out_cap_wvsu-a,,,3027,30,,,,
KRT_Weekday-3i_out_cap_wvsu-a,,,3028,31,,,,
KRT_Weekday-3i_out_cap_wvsu-a,,,3029,32,,,,
KRT_Weekday-3i_out_cap_wvsu-a,,,3030,33,,,,
KRT_Weekday-3i_out_cap_wvsu-a,,,3031,34,,,,
KRT_Weekday-3i_out_cap_wvsu-a,12:44:00,12:44:00,3002,35,,,,
KRT_Weekday-3i_out_cap_wvsu-a,,,3032,36,,,,
KRT_Weekday-3i_out_cap_wvsu-a,,,3033,37,,,,
KRT_Weekday-3i_out_cap_wvsu-a,,,3034,38,,,,
KRT_Weekday-3i_out_cap_wvsu-a,,,3035,39,,,,
KRT_Weekday-3i_out_cap_wvsu-a,,,3036,40,,,,
KRT_Weekday-3i_out_cap_wvsu-a,,,3037,41,,,,
KRT_Weekday-3i_out_cap_wvsu-a,,,3038,42,,,,
KRT_Weekday-3i_out_cap_wvsu-a,12:53:00,12:53:00,3003,43,,,,
KRT_Weekday-3i_out_cap_wvsu-a,,,3039,44,,,,
KRT_Weekday-3i_out_cap_wvsu-a,,,3040,45,,,,
KRT_Weekday-3i_out_cap_wvsu-a,,,3041,46,,,,
KRT_Weekday-3i_out_cap_wvsu-a,,,3042,47,,,,
KRT_Weekday-3i_out_cap_wvsu-a,,,3043,48,,,,
KRT_Weekday-3i_out_cap_wvsu-a,,,3044,49,,,,
KRT_Weekday-3i_out_cap_wvsu-a,,,3045,50,,,,
KRT_Weekday-3i_out_cap_wvsu-a,13:01:00,13:01:00,3004,51,,,,
KRT_Weekday-3i_out_cap_wvsu-b,13:19:00,13:19:00,3001,10,,,,
KRT_Weekday-3i_out_cap_wvsu-b,,,2018,11,,,,
KRT_Weekday-3i_out_cap_wvsu-b,,,3010,12,,,,
KRT_Weekday-3i_out_cap_wvsu-b,,,3011,13,,,,
KRT_Weekday-3i_out_cap_wvsu-b,,,3012,14,,,,
KRT_Weekday-3i_out_cap_wvsu-b,,,3013,15,,,,
KRT_Weekday-3i_out_cap_wvsu-b,,,3014,16,,,,
KRT_Weekday-3i_out_cap_wvsu-b,,,3015,17,,,,
KRT_Weekday-3i_out_cap_wvsu-b,13:30:00,13:30:00,2,18,,,,
KRT_Weekday-3i_out_cap_wvsu-b,,,3016,19,,,,
KRT_Weekday-3i_out_cap_wvsu-b,,,3017,20,,,,
KRT_Weekday-3i_out_cap_wvsu-b,,,3018,21,,,,
KRT_Weekday-3i_out_cap_wvsu-b,,,3019,22,,,,
KRT_Weekday-3i_out_cap_wvsu-b,,,3020,23,,,,
KRT_Weekday-3i_out_cap_wvsu-b,,,3021,24,,,,
KRT_Weekday-3i_out_cap_wvsu-b,,,3022,25,,,,
KRT_Weekday-3i_out_cap_wvsu-b,,,3023,26,,,,
KRT_Weekday-3i_out_cap_wvsu-b,,,3024,27,,,,
KRT_Weekday-3i_out_cap_wvsu-b,,,3025,28,,,,
KRT_Weekday-3i_out_cap_wvsu-b,,,3026,29,,,,
KRT_Weekday-3i_out_cap_wvsu-b,,,3027,30,,,,
KRT_Weekday-3i_out_cap_wvsu-b,,,3028,31,,,,
KRT_Weekday-3i_out_cap_wvsu-b,,,3029,32,,,,
KRT_Weekday-3i_out_cap_wvsu-b,,,3030,33,,,,
KRT_Weekday-3i_out_cap_wvsu-b,,,3031,34,,,,
KRT_Weekday-3i_out_cap_wvsu-b,13:44:00,13:44:00,3002,35,,,,
KRT_Weekday-3i_out_cap_wvsu-b,,,3032,36,,,,
KRT_Weekday-3i_out_cap_wvsu-b,,,3033,37,,,,
KRT_Weekday-3i_out_cap_wvsu-b,,,3034,38,,,,
KRT_Weekday-3i_out_cap_wvsu-b,,,3035,39,,,,
KRT_Weekday-3i_out_cap_wvsu-b,,,3036,40,,,,
KRT_Weekday-3i_out_cap_wvsu-b,,,3037,41,,,,
KRT_Weekday-3i_out_cap_wvsu-b,,,3038,42,,,,
KRT_Weekday-3i_out_cap_wvsu-b,13:53:00,13:53:00,3003,43,,,,
KRT_Weekday-3i_out_cap_wvsu-b,,,3039,44,,,,
KRT_Weekday-3i_out_cap_wvsu-b,,,3040,45,,,,
KRT_Weekday-3i_out_cap_wvsu-b,,,3041,46,,,,
KRT_Weekday-3i_out_cap_wvsu-b,,,3042,47,,,,
KRT_Weekday-3i_out_cap_wvsu-b,,,3043,48,,,,
KRT_Weekday-3i_out_cap_wvsu-b,,,3044,49,,,,
KRT_Weekday-3i_out_cap_wvsu-b,,,3045,50,,,,
KRT_Weekday-3i_out_cap_wvsu-b,14:01:00,14:01:00,3004,51,,,,
KRT_Weekday-3i_out_cap_wvsu-c,14:19:00,14:19:00,3001,10,,,,
KRT_Weekday-3i_out_cap_wvsu-c,,,2018,11,,,,
KRT_Weekday-3i_out_cap_wvsu-c,,,3010,12,,,,
KRT_Weekday-3i_out_cap_wvsu-c,,,3011,13,,,,
KRT_Weekday-3i_out_cap_wvsu-c,,,3012,14,,,,
KRT_Weekday-3i_out_cap_wvsu-c,,,3013,15,,,,
KRT_Weekday-3i_out_cap_wvsu-c,,,3014,16,,,,
KRT_Weekday-3i_out_cap_wvsu-c,,,3015,17,,,,
KRT_Weekday-3i_out_cap_wvsu-c,14:30:00,14:30:00,2,18,,,,
KRT_Weekday-3i_out_cap_wvsu-c,,,3016,19,,,,
KRT_Weekday-3i_out_cap_wvsu-c,,,3017,20,,,,
KRT_Weekday-3i_out_cap_wvsu-c,,,3018,21,,,,
KRT_Weekday-3i_out_cap_wvsu-c,,,3019,22,,,,
KRT_Weekday-3i_out_cap_wvsu-c,,,3020,23,,,,
KRT_Weekday-3i_out_cap_wvsu-c,,,3021,24,,,,
KRT_Weekday-3i_out_cap_wvsu-c,,,3022,25,,,,
KRT_Weekday-3i_out_cap_wvsu-c,,,3023,26,,,,
KRT_Weekday-3i_out_cap_wvsu-c,,,3024,27,,,,
KRT_Weekday-3i_out_cap_wvsu-c,,,3025,28,,,,
KRT_Weekday-3i_out_cap_wvsu-c,,,3026,29,,,,
KRT_Weekday-3i_out_cap_wvsu-c,,,3027,30,,,,
KRT_Weekday-3i_out_cap_wvsu-c,,,3028,31,,,,
KRT_Weekday-3i_out_cap_wvsu-c,,,3029,32,,,,
KRT_Weekday-3i_out_cap_wvsu-c,,,3030,33,,,,
KRT_Weekday-3i_out_cap_wvsu-c,,,3031,34,,,,
KRT_Weekday-3i_out_cap_wvsu-c,14:44:00,14:44:00,3002,35,,,,
KRT_Weekday-3i_out_cap_wvsu-c,,,3032,36,,,,
KRT_Weekday-3i_out_cap_wvsu-c,,,3033,37,,,,
KRT_Weekday-3i_out_cap_wvsu-c,,,3034,38,,,,
KRT_Weekday-3i_out_cap_wvsu-c,,,3035,39,,,,
KRT_Weekday-3i_out_cap_wvsu-c,,,3036,40,,,,
KRT_Weekday-3i_out_cap_wvsu-c,,,3037,41,,,,
KRT_Weekday-3i_out_cap_wvsu-c,,,3038,42,,,,
KRT_Weekday-3i_out_cap_wvsu-c,14:53:00,14:53:00,3003,43,,,,
KRT_Weekday-3i_out_cap_wvsu-c,,,3039,44,,,,
KRT_Weekday-3i_out_cap_wvsu-c,,,3040,45,,,,
KRT_Weekday-3i_out_cap_wvsu-c,,,3041,46,,,,
KRT_Weekday-3i_out_cap_wvsu-c,,,3042,47,,,,
KRT_Weekday-3i_out_cap_wvsu-c,,,3043,48,,,,
KRT_Weekday-3i_out_cap_wvsu-c,,,3044,49,,,,
KRT_Weekday-3i_out_cap_wvsu-c,,,3045,50,,,,
KRT_Weekday-3i_out_cap_wvsu-c,15:01:00,15:01:00,3004,51,,,,
KRT_Weekday-3i_out_cap_wvsu-d,15:19:00,15:19:00,3001,10,,,,
KRT_Weekday-3i_out_cap_wvsu-d,,,2018,11,,,,
KRT_Weekday-3i_out_cap_wvsu-d,,,3010,12,,,,
KRT_Weekday-3i_out_cap_wvsu-d,,,3011,13,,,,
KRT_Weekday-3i_out_cap_wvsu-d,,,3012,14,,,,
KRT_Weekday-3i_out_cap_wvsu-d,,,3013,15,,,,
KRT_Weekday-3i_out_cap_wvsu-d,,,3014,16,,,,
KRT_Weekday-3i_out_cap_wvsu-d,,,3015,17,,,,
KRT_Weekday-3i_out_cap_wvsu-d,15:30:00,15:30:00,2,18,,,,
KRT_Weekday-3i_out_cap_wvsu-d,,,3016,19,,,,
KRT_Weekday-3i_out_cap_wvsu-d,,,3017,20,,,,
KRT_Weekday-3i_out_cap_wvsu-d,,,3018,21,,,,
KRT_Weekday-3i_out_cap_wvsu-d,,,3019,22,,,,
KRT_Weekday-3i_out_cap_wvsu-d,,,3020,23,,,,
KRT_Weekday-3i_out_cap_wvsu-d,,,3021,24,,,,
KRT_Weekday-3i_out_cap_wvsu-d,,,3022,25,,,,
KRT_Weekday-3i_out_cap_wvsu-d,,,3023,26,,,,
KRT_Weekday-3i_out_cap_wvsu-d,,,3024,27,,,,
KRT_Weekday-3i_out_cap_wvsu-d,,,3025,28,,,,
KRT_Weekday-3i_out_cap_wvsu-d,,,3026,29,,,,
KRT_Weekday-3i_out_cap_wvsu-d,,,3027,30,,,,
KRT_Weekday-3i_out_cap_wvsu-d,,,3028,31,,,,
KRT_Weekday-3i_out_cap_wvsu-d,,,3029,32,,,,
KRT_Weekday-3i_out_cap_wvsu-d,,,3030,33,,,,
KRT_Weekday-3i_out_cap_wvsu-d,,,3031,34,,,,
KRT_Weekday-3i_out_cap_wvsu-d,15:44:00,15:44:00,3002,35,,,,
KRT_Weekday-3i_out_cap_wvsu-d,,,3032,36,,,,
