trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,24:30:00,24:30:00,3007,10,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3082,11,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3077,12,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3076,13,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3075,14,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3074,15,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3073,16,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3072,17,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3071,18,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3070,19,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3069,20,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3068,21,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3067,22,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,24:40:00,24:40:00,3005,23,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3066,24,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3065,25,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3064,26,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3063,27,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3062,28,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3061,29,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3060,30,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3059,31,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3058,32,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3057,33,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3056,34,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3055,35,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3054,36,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3053,37,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3052,38,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3051,39,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3049,40,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3048,41,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3047,42,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3046,43,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,24:50:00,24:50:00,3008,44,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3045,45,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3044,46,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3043,47,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3042,48,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3041,49,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3040,50,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3039,51,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,24:57:00,24:57:00,3003,52,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3038,53,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3037,54,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3036,55,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3035,56,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3034,57,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3033,58,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,,,3032,59,,,,
KRT_Weekday-3n_in_mgr_NoNmp_NoSas_26-a,25:05:00,25:05:00,3009,60,,,,
