trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Weekday-3n_in_nmp_NoSas_tm-a,22:15:00,22:15:00,3006,10,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3081,11,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3082,12,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3077,13,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3076,14,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3075,15,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3074,16,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3073,17,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3072,18,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3071,19,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3070,20,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3069,21,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3068,22,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3067,23,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,22:25:00,22:25:00,3005,24,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3066,25,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3065,26,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3064,27,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3063,28,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3062,29,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3061,30,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3060,31,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3059,32,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3058,33,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3057,34,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3056,35,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3055,36,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3054,37,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3053,38,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3052,39,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3051,40,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3049,41,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3048,42,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3047,43,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3046,44,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,22:35:00,22:35:00,3008,45,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3045,46,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3044,47,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3043,48,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3042,49,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3041,50,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3040,51,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3039,52,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,22:43:00,22:43:00,3003,53,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3038,54,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3037,55,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3036,56,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3035,57,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3034,58,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3033,59,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3032,60,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,22:51:00,22:51:00,3009,61,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3031,62,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3030,63,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3029,64,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3028,65,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3027,66,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3026,67,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3025,68,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3024,69,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3023,70,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3083,71,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3084,72,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3085,73,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3086,74,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3087,75,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,,,3088,76,,,,
KRT_Weekday-3n_in_nmp_NoSas_tm-a,23:08:00,23:08:00,2,77,,,,
