trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Weekday-5_in_nmp_psp_cap-a,18:17:00,18:17:00,3006,10,,,,
KRT_Weekday-5_in_nmp_psp_cap-a,,,3081,11,,,,
KRT_Weekday-5_in_nmp_psp_cap-a,,,3082,12,,,,
KRT_Weekday-5_in_nmp_psp_cap-a,,,3077,13,,,,
KRT_Weekday-5_in_nmp_psp_cap-a,,,3076,14,,,,
KRT_Weekday-5_in_nmp_psp_cap-a,,,3075,15,,,,
KRT_Weekday-5_in_nmp_psp_cap-a,18:27:00,18:27:00,5002,16,,,,
KRT_Weekday-5_in_nmp_psp_cap-a,,,5019,17,,,,
KRT_Weekday-5_in_nmp_psp_cap-a,,,5018,18,,,,
KRT_Weekday-5_in_nmp_psp_cap-a,,,5017,19,,,,
KRT_Weekday-5_in_nmp_psp_cap-a,,,5016,20,,,,
KRT_Weekday-5_in_nmp_psp_cap-a,18:37:00,18:37:00,5001,21,,,,
KRT_Weekday-5_in_nmp_psp_cap-a,,,5015,22,,,,
KRT_Weekday-5_in_nmp_psp_cap-a,,,5014,23,,,,
KRT_Weekday-5_in_nmp_psp_cap-a,,,5013,24,,,,
KRT_Weekday-5_in_nmp_psp_cap-a,,,5012,25,,,,
KRT_Weekday-5_in_nmp_psp_cap-a,,,5011,26,,,,
KRT_Weekday-5_in_nmp_psp_cap-a,,,5010,27,,,,
KRT_Weekday-5_in_nmp_psp_cap-a,,,3104,28,,,,
KRT_Weekday-5_in_nmp_psp_cap-a,,,3103,29,,,,
KRT_Weekday-5_in_nmp_psp_cap-a,18:49:00,18:49:00,3009,30,,,,
KRT_Weekday-5_in_nmp_psp_cap-a,,,3031,31,,,,
KRT_Weekday-5_in_nmp_psp_cap-a,,,3030,32,,,,
KRT_Weekday-5_in_nmp_psp_cap-a,,,3029,33,,,,
KRT_Weekday-5_in_nmp_psp_cap-a,,,3028,34,,,,
KRT_Weekday-5_in_nmp_psp_cap-a,,,1001,35,,,,
KRT_Weekday-5_in_nmp_psp_cap-a,,,1020,36,,,,
KRT_Weekday-5_in_nmp_psp_cap-a,,,1021,37,,,,
KRT_Weekday-5_in_nmp_psp_cap-a,,,1022,38,,,,
KRT_Weekday-5_in_nmp_psp_cap-a,19:00:00,19:00:00,1002,39,,,,
