trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Weekday-5_out_tm_nmp-a,6:00:00,6:00:00,2,10,,,,
KRT_Weekday-5_out_tm_nmp-a,,,3016,11,,,,
KRT_Weekday-5_out_tm_nmp-a,,,3017,12,,,,
KRT_Weekday-5_out_tm_nmp-a,,,3018,13,,,,
KRT_Weekday-5_out_tm_nmp-a,,,3019,14,,,,
KRT_Weekday-5_out_tm_nmp-a,,,3020,15,,,,
KRT_Weekday-5_out_tm_nmp-a,,,3021,16,,,,
KRT_Weekday-5_out_tm_nmp-a,,,3022,17,,,,
KRT_Weekday-5_out_tm_nmp-a,,,3023,18,,,,
KRT_Weekday-5_out_tm_nmp-a,,,3024,19,,,,
KRT_Weekday-5_out_tm_nmp-a,,,3025,20,,,,
KRT_Weekday-5_out_tm_nmp-a,,,3026,21,,,,
KRT_Weekday-5_out_tm_nmp-a,,,3027,22,,,,
KRT_Weekday-5_out_tm_nmp-a,,,3028,23,,,,
KRT_Weekday-5_out_tm_nmp-a,,,3029,24,,,,
KRT_Weekday-5_out_tm_nmp-a,,,3030,25,,,,
KRT_Weekday-5_out_tm_nmp-a,,,3031,26,,,,
KRT_Weekday-5_out_tm_nmp-a,6:14:00,6:14:00,3002,27,,,,
KRT_Weekday-5_out_tm_nmp-a,,,3103,28,,,,
KRT_Weekday-5_out_tm_nmp-a,,,3104,29,,,,
KRT_Weekday-5_out_tm_nmp-a,,,5010,30,,,,
KRT_Weekday-5_out_tm_nmp-a,,,5011,31,,,,
KRT_Weekday-5_out_tm_nmp-a,,,5012,32,,,,
KRT_Weekday-5_out_tm_nmp-a,,,5013,33,,,,
KRT_Weekday-5_out_tm_nmp-a,,,5014,34,,,,
KRT_Weekday-5_out_tm_nmp-a,,,5015,35,,,,
KRT_Weekday-5_out_tm_nmp-a,6:26:00,6:26:00,5001,36,,,,
KRT_Weekday-5_out_tm_nmp-a,,,5016,37,,,,
KRT_Weekday-5_out_tm_nmp-a,,,5017,38,,,,
KRT_Weekday-5_out_tm_nmp-a,,,5018,39,,,,
KRT_Weekday-5_out_tm_nmp-a,,,5019,40,,,,
KRT_Weekday-5_out_tm_nmp-a,6:37:00,6:37:00,5002,41,,,,
KRT_Weekday-5_out_tm_nmp-a,,,3075,42,,,,
KRT_Weekday-5_out_tm_nmp-a,,,3076,43,,,,
KRT_Weekday-5_out_tm_nmp-a,,,3077,44,,,,
KRT_Weekday-5_out_tm_nmp-a,,,3078,45,,,,
KRT_Weekday-5_out_tm_nmp-a,,,3079,46,,,,
