trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Weekday-6_in_cm_tm-a,6:15:00,6:15:00,6005,10,,,,
KRT_Weekday-6_in_cm_tm-a,,,6023,11,,,,
KRT_Weekday-6_in_cm_tm-a,,,6022,12,,,,
KRT_Weekday-6_in_cm_tm-a,,,6021,13,,,,
KRT_Weekday-6_in_cm_tm-a,,,6020,14,,,,
KRT_Weekday-6_in_cm_tm-a,,,6019,15,,,,
KRT_Weekday-6_in_cm_tm-a,,,6018,16,,,,
KRT_Weekday-6_in_cm_tm-a,6:27:00,6:27:00,6004,17,,,,
KRT_Weekday-6_in_cm_tm-a,,,6017,18,,,,
KRT_Weekday-6_in_cm_tm-a,,,6016,19,,,,
KRT_Weekday-6_in_cm_tm-a,,,6015,20,,,,
KRT_Weekday-6_in_cm_tm-a,,,6014,21,,,,
KRT_Weekday-6_in_cm_tm-a,6:39:00,6:39:00,6003,22,,,,
KRT_Weekday-6_in_cm_tm-a,,,6013,23,,,,
KRT_Weekday-6_in_cm_tm-a,,,6011,24,,,,
KRT_Weekday-6_in_cm_tm-a,,,6010,25,,,,
KRT_Weekday-6_in_cm_tm-a,6:48:00,6:48:00,6001,26,,,,
KRT_Weekday-6_in_cm_tm-a,,,2017,27,,,,
KRT_Weekday-6_in_cm_tm-a,,,2016,28,,,,
KRT_Weekday-6_in_cm_tm-a,,,2015,29,,,,
KRT_Weekday-6_in_cm_tm-a,,,2014,30,,,,
KRT_Weekday-6_in_cm_tm-a,,,2013,31,,,,
KRT_Weekday-6_in_cm_tm-a,,,2012,32,,,,
KRT_Weekday-6_in_cm_tm-a,,,2035,33,,,,
KRT_Weekday-6_in_cm_tm-a,,,2036,34,,,,
KRT_Weekday-6_in_cm_tm-a,,,2037,35,,,,
KRT_Weekday-6_in_cm_tm-a,6:58:00,6:58:00,2,36,,,,
KRT_Weekday-6_in_cm_tm-b,7:46:00,7:46:00,6005,10,,,,
KRT_Weekday-6_in_cm_tm-b,,,6023,11,,,,
KRT_Weekday-6_in_cm_tm-b,,,6022,12,,,,
KRT_Weekday-6_in_cm_tm-b,,,6021,13,,,,
KRT_Weekday-6_in_cm_tm-b,,,6020,14,,,,
KRT_Weekday-6_in_cm_tm-b,,,6019,15,,,,
KRT_Weekday-6_in_cm_tm-b,,,6018,16,,,,
KRT_Weekday-6_in_cm_tm-b,7:58:00,7:58:00,6004,17,,,,
KRT_Weekday-6_in_cm_tm-b,,,6017,18,,,,
KRT_Weekday-6_in_cm_tm-b,,,6016,19,,,,
KRT_Weekday-6_in_cm_tm-b,,,6015,20,,,,
KRT_Weekday-6_in_cm_tm-b,,,6014,21,,,,
KRT_Weekday-6_in_cm_tm-b,8:10:00,8:10:00,6003,22,,,,
KRT_Weekday-6_in_cm_tm-b,,,6013,23,,,,
KRT_Weekday-6_in_cm_tm-b,,,6011,24,,,,
KRT_Weekday-6_in_cm_tm-b,,,6010,25,,,,
KRT_Weekday-6_in_cm_tm-b,8:19:00,8:19:00,6001,26,,,,
KRT_Weekday-6_in_cm_tm-b,,,2017,27,,,,
KRT_Weekday-6_in_cm_tm-b,,,2016,28,,,,
KRT_Weekday-6_in_cm_tm-b,,,2015,29,,,,
KRT_Weekday-6_in_cm_tm-b,,,2014,30,,,,
KRT_Weekday-6_in_cm_tm-b,,,2013,31,,,,
KRT_Weekday-6_in_cm_tm-b,,,2012,32,,,,
KRT_Weekday-6_in_cm_tm-b,,,2035,33,,,,
KRT_Weekday-6_in_cm_tm-b,,,2036,34,,,,
KRT_Weekday-6_in_cm_tm-b,,,2037,35,,,,
KRT_Weekday-6_in_cm_tm-b,8:29:00,8:29:00,2,36,,,,
KRT_Weekday-6_in_cm_tm-c,16:39:00,16:39:00,6005,10,,,,
KRT_Weekday-6_in_cm_tm-c,,,6023,11,,,,
KRT_Weekday-6_in_cm_tm-c,,,6022,12,,,,
KRT_Weekday-6_in_cm_tm-c,,,6021,13,,,,
KRT_Weekday-6_in_cm_tm-c,,,6020,14,,,,
KRT_Weekday-6_in_cm_tm-c,,,6019,15,,,,
KRT_Weekday-6_in_cm_tm-c,,,6018,16,,,,
KRT_Weekday-6_in_cm_tm-c,16:51:00,16:51:00,6004,17,,,,
KRT_Weekday-6_in_cm_tm-c,,,6017,18,,,,
KRT_Weekday-6_in_cm_tm-c,,,6016,19,,,,
KRT_Weekday-6_in_cm_tm-c,,,6015,20,,,,
KRT_Weekday-6_in_cm_tm-c,,,6014,21,,,,
KRT_Weekday-6_in_cm_tm-c,17:03:00,17:03:00,6003,22,,,,
KRT_Weekday-6_in_cm_tm-c,,,6013,23,,,,
KRT_Weekday-6_in_cm_tm-c,,,6011,24,,,,
KRT_Weekday-6_in_cm_tm-c,,,6010,25,,,,
KRT_Weekday-6_in_cm_tm-c,17:12:00,17:12:00,6001,26,,,,
KRT_Weekday-6_in_cm_tm-c,,,2017,27,,,,
KRT_Weekday-6_in_cm_tm-c,,,2016,28,,,,
KRT_Weekday-6_in_cm_tm-c,,,2015,29,,,,
KRT_Weekday-6_in_cm_tm-c,,,2014,30,,,,
KRT_Weekday-6_in_cm_tm-c,,,2013,31,,,,
KRT_Weekday-6_in_cm_tm-c,,,2012,32,,,,
KRT_Weekday-6_in_cm_tm-c,,,2035,33,,,,
KRT_Weekday-6_in_cm_tm-c,,,2036,34,,,,
KRT_Weekday-6_in_cm_tm-c,,,2037,35,,,,
KRT_Weekday-6_in_cm_tm-c,17:22:00,17:22:00,2,36,,,,
