trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Weekday-6_out_tm_ng_cm-a,8:30:00,8:30:00,2,10,,,,
KRT_Weekday-6_out_tm_ng_cm-a,,,2010,11,,,,
KRT_Weekday-6_out_tm_ng_cm-a,,,2011,12,,,,
KRT_Weekday-6_out_tm_ng_cm-a,,,2012,13,,,,
KRT_Weekday-6_out_tm_ng_cm-a,,,2013,14,,,,
KRT_Weekday-6_out_tm_ng_cm-a,,,2014,15,,,,
KRT_Weekday-6_out_tm_ng_cm-a,,,2015,16,,,,
KRT_Weekday-6_out_tm_ng_cm-a,,,2016,17,,,,
KRT_Weekday-6_out_tm_ng_cm-a,,,2017,18,,,,
KRT_Weekday-6_out_tm_ng_cm-a,8:40:00,8:40:00,6001,19,,,,
KRT_Weekday-6_out_tm_ng_cm-a,,,6010,20,,,,
KRT_Weekday-6_out_tm_ng_cm-a,,,6011,21,,,,
KRT_Weekday-6_out_tm_ng_cm-a,8:49:00,8:49:00,6002,22,,,,
KRT_Weekday-6_out_tm_ng_cm-a,,,6012,23,,,,
KRT_Weekday-6_out_tm_ng_cm-a,,,6013,24,,,,
KRT_Weekday-6_out_tm_ng_cm-a,8:57:00,8:57:00,6003,25,,,,
KRT_Weekday-6_out_tm_ng_cm-a,,,6014,26,,,,
KRT_Weekday-6_out_tm_ng_cm-a,,,6015,27,,,,
KRT_Weekday-6_out_tm_ng_cm-a,,,6016,28,,,,
KRT_Weekday-6_out_tm_ng_cm-a,,,6017,29,,,,
KRT_Weekday-6_out_tm_ng_cm-a,9:09:00,9:09:00,6004,30,,,,
KRT_Weekday-6_out_tm_ng_cm-a,,,6018,31,,,,
KRT_Weekday-6_out_tm_ng_cm-a,,,6019,32,,,,
KRT_Weekday-6_out_tm_ng_cm-a,,,6020,33,,,,
KRT_Weekday-6_out_tm_ng_cm-a,,,6021,34,,,,
KRT_Weekday-6_out_tm_ng_cm-a,,,6022,35,,,,
KRT_Weekday-6_out_tm_ng_cm-a,,,6023,36,,,,
KRT_Weekday-6_out_tm_ng_cm-a,9:21:00,9:21:00,6005,37,,,,
KRT_Weekday-6_out_tm_ng_cm-b,14:00:00,14:00:00,2,10,,,,
KRT_Weekday-6_out_tm_ng_cm-b,,,2010,11,,,,
KRT_Weekday-6_out_tm_ng_cm-b,,,2011,12,,,,
KRT_Weekday-6_out_tm_ng_cm-b,,,2012,13,,,,
KRT_Weekday-6_out_tm_ng_cm-b,,,2013,14,,,,
KRT_Weekday-6_out_tm_ng_cm-b,,,2014,15,,,,
KRT_Weekday-6_out_tm_ng_cm-b,,,2015,16,,,,
KRT_Weekday-6_out_tm_ng_cm-b,,,2016,17,,,,
KRT_Weekday-6_out_tm_ng_cm-b,,,2017,18,,,,
KRT_Weekday-6_out_tm_ng_cm-b,14:10:00,14:10:00,6001,19,,,,
KRT_Weekday-6_out_tm_ng_cm-b,,,6010,20,,,,
KRT_Weekday-6_out_tm_ng_cm-b,,,6011,21,,,,
KRT_Weekday-6_out_tm_ng_cm-b,14:19:00,14:19:00,6002,22,,,,
KRT_Weekday-6_out_tm_ng_cm-b,,,6012,23,,,,
KRT_Weekday-6_out_tm_ng_cm-b,,,6013,24,,,,
KRT_Weekday-6_out_tm_ng_cm-b,14:27:00,14:27:00,6003,25,,,,
KRT_Weekday-6_out_tm_ng_cm-b,,,6014,26,,,,
KRT_Weekday-6_out_tm_ng_cm-b,,,6015,27,,,,
KRT_Weekday-6_out_tm_ng_cm-b,,,6016,28,,,,
KRT_Weekday-6_out_tm_ng_cm-b,,,6017,29,,,,
KRT_Weekday-6_out_tm_ng_cm-b,14:39:00,14:39:00,6004,30,,,,
KRT_Weekday-6_out_tm_ng_cm-b,,,6018,31,,,,
KRT_Weekday-6_out_tm_ng_cm-b,,,6019,32,,,,
KRT_Weekday-6_out_tm_ng_cm-b,,,6020,33,,,,
KRT_Weekday-6_out_tm_ng_cm-b,,,6021,34,,,,
