trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
34out_1,10:30:00,10:30:00,lee&md,5,,0,0,
34out_1,10:36:00,10:36:00,LTM,10,,0,0,
34out_1,10:42:00,10:42:00,capMark,15,,0,0,
34out_1,11:00:00,11:00:00,CA&Wash,20,,0,0,
34in_1,11:00:00,11:00:00,CA&Wash,5,,0,0,
34in_1,11:08:00,11:08:00,qur&cap,10,,0,0,
34in_1,11:12:00,11:12:00,capMark,15,,0,0,
34in_1,11:20:00,11:20:00,Bigley&Ash,20,,0,0,
34in_1,11:30:00,11:30:00,lee&md,25,,0,0,
34out_2,11:30:00,11:30:00,lee&md,5,,0,0,
34out_2,11:36:00,11:36:00,LTM,10,,0,0,
34out_2,11:42:00,11:42:00,capMark,15,,0,0,
34out_2,12:00:00,12:00:00,CA&Wash,20,,0,0,
34in_2,12:00:00,12:00:00,CA&Wash,5,,0,0,
34in_2,12:08:00,12:08:00,qur&cap,10,,0,0,
34in_2,12:12:00,12:12:00,capMark,15,,0,0,
34in_2,12:20:00,12:20:00,Bigley&Ash,20,,0,0,
34in_2,12:30:00,12:30:00,lee&md,25,,0,0,
34out_3,12:30:00,12:30:00,lee&md,5,,0,0,
34out_3,12:36:00,12:36:00,LTM,10,,0,0,
34out_3,12:42:00,12:42:00,capMark,15,,0,0,
34out_3,13:00:00,13:00:00,CA&Wash,20,,0,0,
34in_3,13:00:00,13:00:00,CA&Wash,5,,0,0,
34in_3,13:08:00,13:08:00,qur&cap,10,,0,0,
34in_3,13:12:00,13:12:00,capMark,15,,0,0,
34in_3,13:20:00,13:20:00,Bigley&Ash,20,,0,0,
34in_3,13:30:00,13:30:00,lee&md,25,,0,0,
34out_4,13:30:00,13:30:00,lee&md,5,,0,0,
34out_4,13:36:00,13:36:00,LTM,10,,0,0,
34out_4,13:42:00,13:42:00,capMark,15,,0,0,
34out_4,14:00:00,14:00:00,CA&Wash,20,,0,0,
34in_4,14:00:00,14:00:00,CA&Wash,5,,0,0,
34in_4,14:08:00,14:08:00,qur&cap,10,,0,0,
34in_4,14:12:00,14:12:00,capMark,15,,0,0,
34in_4,14:20:00,14:20:00,Bigley&Ash,20,,0,0,
34in_4,14:30:00,14:30:00,lee&md,25,,0,0,
34out_5,14:30:00,14:30:00,lee&md,5,,0,0,
34out_5,14:36:00,14:36:00,LTM,10,,0,0,
34out_5,15:06:00,15:06:00,LTM,15,,0,0,
34out_5,15:12:00,15:12:00,capMark,20,,0,0,
34out_5,15:30:00,15:30:00,CA&Wash,25,,0,0,
34in_5,15:30:00,15:30:00,CA&Wash,5,,0,0,
34in_5,15:38:00,15:38:00,qur&cap,10,,0,0,
34in_5,15:42:00,15:42:00,capMark,15,,0,0,
34in_5,15:50:00,15:50:00,Bigley&Ash,20,,0,0,
