route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
R10,krt,,Northgate / Hillcrest Drive,,3,http://rideonkrt.com/wp-content/uploads/2015/11/KVRTA-Rt-10-NovWeb.pdf,CF4829,FFFFFF
R11,krt,,Wertz Avenue,,3,http://rideonkrt.com/wp-content/uploads/2015/11/KVRTA-Rt-11-NovWeb.pdf,BCBEBA,FFFFFF
R13,krt,,Beech Avenue,,3,http://rideonkrt.com/wp-content/uploads/2015/11/KVRTA-Rt-13-NovWeb.pdf,92BF68,FFFFFF
R14,krt,,City Park,,3,http://rideonkrt.com/wp-content/uploads/2015/11/KVRTA-Rt-14-NovWeb.pdf,8D799A,FFFFFF
R15,krt,,South Hills Loop,,3,http://rideonkrt.com/wp-content/uploads/2015/11/KVRTA-Rt-15-NovWeb.pdf,45B06D,FFFFFF
R16,krt,,South Park,,3,http://rideonkrt.com/wp-content/uploads/2015/11/KVRTA-Rt-16-NovWeb.pdf,8B273E,FFFFFF
R17,krt,,South Side,,3,http://rideonkrt.com/wp-content/uploads/2015/11/KVRTA-Rt-17-NovWeb.pdf,998924,FFFFFF
R18,krt,,Fort Hill-Montrose,,3,http://rideonkrt.com/wp-content/uploads/2015/11/KVRTA-Rt-18-NovWeb.pdf,B4AA52,000000
R19,krt,,Charleston Loop / Trolley,,3,http://rideonkrt.com/wp-content/uploads/2015/11/KVRTA-Trolley-Rt-19-NovWeb.pdf,088FD7,FFFFFF
R1SA,krt,,St. Albans,,3,http://rideonkrt.com/wp-content/uploads/2015/11/KVRTA-Rt-1sa-NovWeb.pdf,B02D24,FFFFFF
R1WC,krt,,West Charleston,,3,http://rideonkrt.com/wp-content/uploads/2015/11/KVRTA-Rt-1wc-NovWeb.pdf,B02D24,FFFFFF
R21,krt,,Southridge / Trace Fork / Dudley Farms,,3,http://rideonkrt.com/wp-content/uploads/2015/11/KVRTA-Rt-21-NovWeb.pdf,23689E,FFFFFF
R22Q,krt,,Montgomery / Quincy Mall,,3,http://rideonkrt.com/wp-content/uploads/2015/11/KVRTA-Rt-22Q-NovWeb.pdf,A36DA1,FFFFFF
R22m,krt,,Montgomery,,3,http://rideonkrt.com/wp-content/uploads/2015/11/KVRTA-Rt-22M-NovWeb.pdf,A36DA1,FFFFFF
R23,krt,,Clendenin,,3,http://rideonkrt.com/wp-content/uploads/2015/11/KVRTA-Rt-23-NovWeb.pdf,D85A93,FFFFFF
R2CC,krt,,Cabin Creek,,3,http://rideonkrt.com/wp-content/uploads/2015/11/KVRTA-Rt-2cc-NovWeb.pdf,4CB9A6,FFFFFF
R2KC,krt,,Kanawha City,,3,http://rideonkrt.com/wp-content/uploads/2015/11/KVRTA-Rt-2kc-NovWeb.pdf,4CB9A6,FFFFFF
R3I,krt,,Institute / WV State University,,3,http://rideonkrt.com/wp-content/uploads/2015/11/KVRTA-Rt-3i-NovWeb.pdf,66266D,FFFFFF
R3N,krt,,Nitro,,3,http://rideonkrt.com/wp-content/uploads/2015/11/KVRTA-Rt-3n-NovWeb.pdf,66266D,FFFFFF
R5,krt,,Tyler Mountain / Cross Lanes,,3,http://rideonkrt.com/wp-content/uploads/2015/11/KVRTA-Rt-5-NovWeb.pdf,196231,FFFFFF
R6,krt,,Elkview,,3,http://rideonkrt.com/wp-content/uploads/2015/11/KVRTA-Rt-6-NovWeb.pdf,0E3B75,FFFFFF
R7,krt,,Campbells Creek,,3,http://rideonkrt.com/wp-content/uploads/2015/11/KVRTA-Rt-7-NovWeb.pdf,DF8618,FFFFFF
R8,krt,,Sissonville,,3,http://rideonkrt.com/wp-content/uploads/2015/11/KVRTA-Rt-8-NovWeb.pdf,3399FF,FFFFFF
