trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Saturday-11_in-a,,,11010,115,,,,
KRT_Saturday-11_in-a,,,11011,113,,,,
KRT_Saturday-11_in-a,,,11014,102,,,,
KRT_Saturday-11_in-a,,,11015,101,,,,
KRT_Saturday-11_in-a,,,11016,103,,,,
KRT_Saturday-11_in-a,,,11017,104,,,,
KRT_Saturday-11_in-a,,,11018,105,,,,
KRT_Saturday-11_in-a,,,2012,116,,,,
KRT_Saturday-11_in-a,,,2019,108,,,,
KRT_Saturday-11_in-a,,,2020,107,,,,
KRT_Saturday-11_in-a,,,2021,106,,,,
KRT_Saturday-11_in-a,,,2035,117,,,,
KRT_Saturday-11_in-a,,,2036,118,,,,
KRT_Saturday-11_in-a,,,2037,119,,,,
KRT_Saturday-11_in-a,,,3100,112,,,,
KRT_Saturday-11_in-a,,,3101,111,,,,
KRT_Saturday-11_in-a,,,3102,110,,,,
KRT_Saturday-11_in-a,6:30:00,6:30:00,11002,100,,,,
KRT_Saturday-11_in-a,6:37:00,6:37:00,2001,109,,,,
KRT_Saturday-11_in-a,6:45:00,6:45:00,11001,114,,,,
KRT_Saturday-11_in-a,6:55:00,6:55:00,3,120,,,,
KRT_Saturday-11_in-b,,,11010,115,,,,
KRT_Saturday-11_in-b,,,11011,113,,,,
KRT_Saturday-11_in-b,,,11014,102,,,,
KRT_Saturday-11_in-b,,,11015,101,,,,
KRT_Saturday-11_in-b,,,11016,103,,,,
KRT_Saturday-11_in-b,,,11017,104,,,,
KRT_Saturday-11_in-b,,,11018,105,,,,
KRT_Saturday-11_in-b,,,2012,116,,,,
KRT_Saturday-11_in-b,,,2019,108,,,,
KRT_Saturday-11_in-b,,,2020,107,,,,
KRT_Saturday-11_in-b,,,2021,106,,,,
KRT_Saturday-11_in-b,,,2035,117,,,,
KRT_Saturday-11_in-b,,,2036,118,,,,
KRT_Saturday-11_in-b,,,2037,119,,,,
KRT_Saturday-11_in-b,,,3100,112,,,,
KRT_Saturday-11_in-b,,,3101,111,,,,
KRT_Saturday-11_in-b,,,3102,110,,,,
KRT_Saturday-11_in-b,7:30:00,7:30:00,11002,100,,,,
KRT_Saturday-11_in-b,7:37:00,7:37:00,2001,109,,,,
KRT_Saturday-11_in-b,7:45:00,7:45:00,11001,114,,,,
KRT_Saturday-11_in-b,7:55:00,7:55:00,3,120,,,,
KRT_Saturday-11_in-c,,,11010,115,,,,
KRT_Saturday-11_in-c,,,11011,113,,,,
KRT_Saturday-11_in-c,,,11014,102,,,,
KRT_Saturday-11_in-c,,,11015,101,,,,
KRT_Saturday-11_in-c,,,11016,103,,,,
KRT_Saturday-11_in-c,,,11017,104,,,,
KRT_Saturday-11_in-c,,,11018,105,,,,
KRT_Saturday-11_in-c,,,2012,116,,,,
KRT_Saturday-11_in-c,,,2019,108,,,,
KRT_Saturday-11_in-c,,,2020,107,,,,
KRT_Saturday-11_in-c,,,2021,106,,,,
KRT_Saturday-11_in-c,,,2035,117,,,,
KRT_Saturday-11_in-c,,,2036,118,,,,
KRT_Saturday-11_in-c,,,2037,119,,,,
KRT_Saturday-11_in-c,,,3100,112,,,,
KRT_Saturday-11_in-c,,,3101,111,,,,
KRT_Saturday-11_in-c,,,3102,110,,,,
KRT_Saturday-11_in-c,8:30:00,8:30:00,11002,100,,,,
KRT_Saturday-11_in-c,8:37:00,8:37:00,2001,109,,,,
KRT_Saturday-11_in-c,8:45:00,8:45:00,11001,114,,,,
KRT_Saturday-11_in-c,8:55:00,8:55:00,3,120,,,,
