route_id,service_id,trip_id,direction_id,block_id,shape_id
"07 - Campbells Creek","07 - Campbells Creek_#0_2016-02-08T10:03:33_20170901_99991231_20170530_99991231_2","#0_2016-02-08T10:03:33_20170901_99991231_20170530_99991231_2","0","","07 - Campbells Creek to Transit Mall_Mar 28 2017  9:53:08:710AM"
"07 - Campbells Creek","07 - Campbells Creek_#1_2016-02-08T10:03:01_20170901_99991231_20170530_99991231_2","#1_2016-02-08T10:03:01_20170901_99991231_20170530_99991231_2","0","","07 - Campbells Creek to Transit Mall_Mar 28 2017  9:53:08:710AM"
"Elkview","Elkview_#0_2016-02-05T14:40:49_20170901_99991231_20170405_99991231_3","#0_2016-02-05T14:40:49_20170901_99991231_20170405_99991231_3","1","","06 - Transit Mall to Crossings Mall (No Northgate)_Apr  4 2017 11:17:44:420AM"
"Elkview","Elkview_#0_2016-02-05T14:40:49_20170901_99991231_20170405_99991231_4","#0_2016-02-05T14:40:49_20170901_99991231_20170405_99991231_4","1","","06 - Transit Mall to Crossings Mall (No Northgate)_Apr  4 2017 11:17:44:420AM"
"Elkview","Elkview_#0_2016-02-05T14:50:13_20170901_99991231_20170405_99991231_3","#0_2016-02-05T14:50:13_20170901_99991231_20170405_99991231_3","1","","06 - Transit Mall to Crossings Mall vis Northgate_Apr  4 2017 11:39:38:690AM"
"Elkview","Elkview_#0_2016-02-05T14:50:13_20170901_99991231_20170530_99991231_2","#0_2016-02-05T14:50:13_20170901_99991231_20170530_99991231_2","1","","06 - Transit Mall to Crossings Mall vis Northgate_Apr  4 2017 11:39:38:690AM"
"Elkview","Elkview_#0_2016-02-08T09:41:48_20170901_99991231_20170405_99991231_4","#0_2016-02-08T09:41:48_20170901_99991231_20170405_99991231_4","0","","06 - Crossings Mall to Transit Mall (No Northgate)_Apr  4 2017 11:19:12:577AM"
"Elkview","Elkview_#0_2016-02-08T09:42:24_20170901_99991231_20170530_99991231_2","#0_2016-02-08T09:42:24_20170901_99991231_20170530_99991231_2","0","","06 - Crossings Mall to Transit Mall (No Northgate)_Apr  4 2017 11:19:12:577AM"
"Elkview","Elkview_#0_2016-02-08T16:11:07_20170901_99991231_20170405_99991231_7","#0_2016-02-08T16:11:07_20170901_99991231_20170405_99991231_7","1","","06 - Transit Mall to Crossings Mall vis Northgate_Apr  4 2017 11:39:38:690AM"
"Elkview","Elkview_0924_20170901_99991231_20170405_99991231_3","0924_20170901_99991231_20170405_99991231_3","0","","06 - Crossings Mall to Transit Mall via Northgate_Apr  4 2017 11:39:27:450AM"
"Route 01 - St. Albans / West Charleston","Route 01 - St. Albans / West Charleston_#0_2016-02-08T09:07:25_20170901_99991231_20170408_99991231_6","#0_2016-02-08T09:07:25_20170901_99991231_20170408_99991231_6","1","","01SA -Transit Mall to St Albans via KT_Mar 28 2017  8:52:32:777AM"
"Route 01 - St. Albans / West Charleston","Route 01 - St. Albans / West Charleston_#0_2016-02-08T09:16:43_20170901_99991231_20170404_99991231_4","#0_2016-02-08T09:16:43_20170901_99991231_20170404_99991231_4","1","","01SA -Transit Mall to Route 60/35_Mar 28 2017  8:51:35:323AM"
"Route 01 - St. Albans / West Charleston","Route 01 - St. Albans / West Charleston_#0_2016-02-08T10:46:33_20170901_99991231_20170530_99991231_2","#0_2016-02-08T10:46:33_20170901_99991231_20170530_99991231_2","1","","01WC - Transit Mall to Patrick St Plaza_Mar 28 2017  8:54:25:997AM"
"Route 01 - St. Albans / West Charleston","Route 01 - St. Albans / West Charleston_#0_2016-02-08T10:47:52_20170901_99991231_20170404_99991231_6","#0_2016-02-08T10:47:52_20170901_99991231_20170404_99991231_6","1","","01WC - Transit Mall to Patrick St Plaza_Mar 28 2017  8:54:25:997AM"
"Route 01 - St. Albans / West Charleston","Route 01 - St. Albans / West Charleston_#0_2016-02-08T11:01:00_20170901_99991231_20170405_99991231_5","#0_2016-02-08T11:01:00_20170901_99991231_20170405_99991231_5","0","","01SA - St Albans via KT to Transit Mall_Apr  4 2017  9:41:46:397AM"
"Route 01 - St. Albans / West Charleston","Route 01 - St. Albans / West Charleston_#0_2016-02-08T11:01:00_20170901_99991231_20170405_99991231_6","#0_2016-02-08T11:01:00_20170901_99991231_20170405_99991231_6","0","","01SA - St Albans via KT to Transit Mall_Apr  4 2017  9:41:46:397AM"
"Route 01 - St. Albans / West Charleston","Route 01 - St. Albans / West Charleston_#0_2016-02-08T11:04:03_20170901_99991231_20170405_99991231_4","#0_2016-02-08T11:04:03_20170901_99991231_20170405_99991231_4","0","","01SA - Route 60/35 to Transit Mall_Apr  4 2017  9:40:25:233AM"
"Route 01 - St. Albans / West Charleston","Route 01 - St. Albans / West Charleston_#0_2016-02-08T11:13:46_20170901_99991231_20170405_99991231_3","#0_2016-02-08T11:13:46_20170901_99991231_20170405_99991231_3","0","","01SA -St Albans via Rt 60/35 & PSP toTransit Mall_Apr  4 2017  9:44:48:203AM"
"Route 01 - St. Albans / West Charleston","Route 01 - St. Albans / West Charleston_#0_2016-02-08T11:13:46_20170901_99991231_20170405_99991231_4","#0_2016-02-08T11:13:46_20170901_99991231_20170405_99991231_4","0","","01SA -St Albans via Rt 60/35 & PSP toTransit Mall_Apr  4 2017  9:44:48:203AM"
"Route 01 - St. Albans / West Charleston","Route 01 - St. Albans / West Charleston_#0_2016-02-08T12:28:46_20170901_99991231_20170404_99991231_4","#0_2016-02-08T12:28:46_20170901_99991231_20170404_99991231_4","0","","01WC - 4th & Stockton to Transit Mall"
"Route 01 - St. Albans / West Charleston","Route 01 - St. Albans / West Charleston_#0_2016-02-08T12:28:46_20170901_99991231_20170404_99991231_5","#0_2016-02-08T12:28:46_20170901_99991231_20170404_99991231_5","0","","01WC - 4th & Stockton to Transit Mall"
"Route 01 - St. Albans / West Charleston","Route 01 - St. Albans / West Charleston_#0_2016-02-08T12:28:46_20170901_99991231_20170404_99991231_6","#0_2016-02-08T12:28:46_20170901_99991231_20170404_99991231_6","0","","01WC - 4th & Stockton to Transit Mall"
"Route 01 - St. Albans / West Charleston","Route 01 - St. Albans / West Charleston_#0_2016-02-10T11:32:10_20170901_99991231_20170405_99991231_7","#0_2016-02-10T11:32:10_20170901_99991231_20170405_99991231_7","0","","01SA - St Albans via KT to Transit Mall_Apr  4 2017  9:41:46:397AM"
"Route 01 - St. Albans / West Charleston","Route 01 - St. Albans / West Charleston_#1_2016-02-08T09:03:54_20170901_99991231_20170329_99991231_6","#1_2016-02-08T09:03:54_20170901_99991231_20170329_99991231_6","1","","01SA - 4th & Stockton to St Albans via KT_Mar 28 2017  8:44:23:697AM"
"Route 01 - St. Albans / West Charleston","Route 01 - St. Albans / West Charleston_#1_2016-02-08T09:07:25_20170901_99991231_20170408_99991231_4","#1_2016-02-08T09:07:25_20170901_99991231_20170408_99991231_4","1","","01SA -Transit Mall to St Albans via KT_Mar 28 2017  8:52:32:777AM"
"07 - Campbells Creek","07 - Campbells Creek_#0_2016-02-08T09:46:08_20170901_99991231_20170405_99991231_4","#0_2016-02-08T09:46:08_20170901_99991231_20170405_99991231_4","1","","07 - Transit Mall to Campbells Creek_Apr  4 2017 11:28:05:997AM"
"07 - Campbells Creek","07 - Campbells Creek_#0_2016-02-08T09:46:34_20170901_99991231_20170405_99991231_6","#0_2016-02-08T09:46:34_20170901_99991231_20170405_99991231_6","1","","07 - Transit Mall to Campbells Creek_Apr  4 2017 11:28:05:997AM"
"07 - Campbells Creek","07 - Campbells Creek_#0_2016-02-08T09:46:34_20170901_99991231_20170530_99991231_2","#0_2016-02-08T09:46:34_20170901_99991231_20170530_99991231_2","1","","07 - Transit Mall to Campbells Creek_Apr  4 2017 11:28:05:997AM"
"07 - Campbells Creek","07 - Campbells Creek_#0_2016-02-08T10:03:00_20170901_99991231_20170404_99991231_4","#0_2016-02-08T10:03:00_20170901_99991231_20170404_99991231_4","0","","07 - Campbells Creek to Transit Mall_Mar 28 2017  9:53:08:710AM"
"07 - Campbells Creek","07 - Campbells Creek_#0_2016-02-08T10:03:00_20170901_99991231_20170404_99991231_6","#0_2016-02-08T10:03:00_20170901_99991231_20170404_99991231_6","0","","07 - Campbells Creek to Transit Mall_Mar 28 2017  9:53:08:710AM"
"07 - Campbells Creek","07 - Campbells Creek_#1_2016-02-08T09:47:20_20170901_99991231_20170405_99991231_4","#1_2016-02-08T09:47:20_20170901_99991231_20170405_99991231_4","1","","07 - Transit Mall to Campbells Creek_Apr  4 2017 11:28:05:997AM"
"07 - Campbells Creek","07 - Campbells Creek_0645_20170901_99991231_20170405_99991231_3","0645_20170901_99991231_20170405_99991231_3","1","","07 - Transit Mall to Campbells Creek_Apr  4 2017 11:28:05:997AM"
"Elkview","Elkview_#0_2016-02-08T09:41:48_20170901_99991231_20170405_99991231_3","#0_2016-02-08T09:41:48_20170901_99991231_20170405_99991231_3","0","","06 - Crossings Mall to Transit Mall (No Northgate)_Apr  4 2017 11:19:12:577AM"
