service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"20160215_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20160215_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20160215_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20160215_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20160220_99991231_mon0_tue0_wed0_thu0_fri0_sat1_sun0",0,0,0,0,0,1,0,20180820,20190819
"20160229_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20160229_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20160229_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20160229_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20160301_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20160301_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20160301_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20160301_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20160302_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20160302_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20160302_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20160302_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20160303_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20160303_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20160303_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20160303_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20160304_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20160304_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20160304_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20160304_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20160305_99991231_mon0_tue0_wed0_thu0_fri0_sat1_sun0",0,0,0,0,0,1,0,20180820,20190819
"20160312_99991231_mon0_tue0_wed0_thu0_fri0_sat1_sun0",0,0,0,0,0,1,0,20180820,20190819
"20160313_99991231_mon0_tue0_wed0_thu0_fri0_sat0_sun1",0,0,0,0,0,0,1,20180820,20190819
"20160319_99991231_mon0_tue0_wed0_thu0_fri0_sat1_sun0",0,0,0,0,0,1,0,20180820,20190819
"20160320_99991231_mon0_tue0_wed0_thu0_fri0_sat0_sun1",0,0,0,0,0,0,1,20180820,20190819
"20160324_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20160324_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20160324_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20160324_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20160325_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20160325_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20160325_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20160325_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20160326_99991231_mon0_tue0_wed0_thu0_fri0_sat1_sun0",0,0,0,0,0,1,0,20180820,20190819
"20160327_99991231_mon0_tue0_wed0_thu0_fri0_sat0_sun1",0,0,0,0,0,0,1,20180820,20190819
"20160328_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20160328_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20160328_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20160328_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20160408_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20160408_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20160408_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20160408_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20160409_99991231_mon0_tue0_wed0_thu0_fri0_sat1_sun0",0,0,0,0,0,1,0,20180820,20190819
"20160411_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20160411_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20160411_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20160411_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20160413_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20160413_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20160413_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20160413_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20160414_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20160414_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20160414_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20160414_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20160415_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20160415_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20160415_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20160415_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20160416_99991231_mon0_tue0_wed0_thu0_fri0_sat1_sun0",0,0,0,0,0,1,0,20180820,20190819
