service_id,date,exception_type
MTWThF,20190101,2
MTWThF,20190527,2
MTWThF,20190704,2
MTWThF,20190902,2
MTWThF,20191128,2
MTWThF,20191129,2
MTWThF,20191225,2
MTWThF,201910014,2
MTWThF,20190121,2
TF,20190101,2
TF,20190527,2
TF,20190704,2
TF,20190902,2
TF,20191128,2
TF,20191129,2
TF,20191225,2
TF,201910014,2
TF,20190121,2
MWF,20190101,2
MWF,20190527,2
MWF,20190704,2
MWF,20190902,2
MWF,20191128,2
MWF,20191129,2
MWF,20191225,2
MWF,201910014,2
MWF,20190121,2
MTh,20170101,2
MTh,20190527,2
MTh,20190704,2
MTh,20190902,2
MTh,20191128,2
MTh,20191129,2
MTh,20191225,2
MTh,201910014,2
MTh,20190121,2
Th,20190101,2
Th,20190527,2
Th,20190704,2
Th,20190902,2
Th,20191128,2
Th,20191129,2
Th,20191225,2
Th,201910014,2
Th,20190121,2
