shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled,dist_between_pt
R1_out,38.27151,-82.20014,0,0.00,
R1_out,38.27162,-82.20050,5,0.02,
R1_out,38.27200,-82.20027,10,0.05,
R1_out,38.27287,-82.19976,15,0.12,
R1_out,38.27301,-82.19969,20,0.13,
R1_out,38.27302,-82.19969,25,0.13,
R1_out,38.27302,-82.19968,30,0.13,
R1_out,38.27306,-82.19968,35,0.13,
R1_out,38.27312,-82.19964,40,0.14,
R1_out,38.27341,-82.19948,45,0.16,
R1_out,38.27359,-82.19936,50,0.17,
R1_out,38.27383,-82.19923,55,0.19,
R1_out,38.27406,-82.19910,60,0.21,
R1_out,38.27452,-82.19883,65,0.24,
R1_out,38.27480,-82.19866,70,0.26,
R1_out,38.27498,-82.19855,75,0.28,
R1_out,38.27527,-82.19838,80,0.30,
R1_out,38.27590,-82.19802,85,0.35,
R1_out,38.27604,-82.19794,90,0.36,
R1_out,38.27619,-82.19783,95,0.37,
R1_out,38.27636,-82.19774,100,0.38,
R1_out,38.27655,-82.19763,105,0.40,
R1_out,38.27666,-82.19757,110,0.41,
R1_out,38.27674,-82.19754,115,0.41,
R1_out,38.27680,-82.19752,120,0.42,
R1_out,38.27694,-82.19748,125,0.43,
R1_out,38.27710,-82.19745,130,0.44,
R1_out,38.27721,-82.19744,135,0.44,
R1_out,38.27733,-82.19743,140,0.45,
R1_out,38.27741,-82.19742,145,0.46,
R1_out,38.27751,-82.19742,150,0.47,
R1_out,38.27760,-82.19743,155,0.47,
R1_out,38.27771,-82.19744,160,0.48,
R1_out,38.27788,-82.19746,165,0.49,
R1_out,38.27804,-82.19748,170,0.50,
R1_out,38.27830,-82.19751,175,0.52,
R1_out,38.27864,-82.19757,180,0.54,
R1_out,38.27889,-82.19760,185,0.56,
R1_out,38.27930,-82.19765,190,0.59,
R1_out,38.27976,-82.19772,195,0.62,
R1_out,38.28016,-82.19777,200,0.65,
R1_out,38.28038,-82.19781,205,0.66,
R1_out,38.28052,-82.19783,210,0.67,
R1_out,38.28074,-82.19785,215,0.69,
R1_out,38.28098,-82.19789,220,0.71,
R1_out,38.28115,-82.19791,225,0.72,
R1_out,38.28143,-82.19793,230,0.74,
R1_out,38.28190,-82.19796,235,0.77,
R1_out,38.28216,-82.19797,240,0.79,
R1_out,38.28235,-82.19798,245,0.80,
R1_out,38.28279,-82.19800,250,0.83,
R1_out,38.28325,-82.19803,255,0.86,
R1_out,38.28350,-82.19804,260,0.88,
R1_out,38.28369,-82.19805,265,0.89,
R1_out,38.28440,-82.19809,270,0.94,
R1_out,38.28488,-82.19812,275,0.98,
R1_out,38.28529,-82.19814,280,1.00,
R1_out,38.28552,-82.19815,285,1.02,
R1_out,38.28575,-82.19817,290,1.04,
R1_out,38.28587,-82.19817,295,1.05,
R1_out,38.28593,-82.19816,300,1.05,
R1_out,38.28599,-82.19816,305,1.05,
R1_out,38.28604,-82.19814,310,1.06,
R1_out,38.28609,-82.19813,315,1.06,
R1_out,38.28617,-82.19811,320,1.07,
R1_out,38.28627,-82.19808,325,1.07,
R1_out,38.28633,-82.19804,330,1.08,
R1_out,38.28642,-82.19800,335,1.08,
R1_out,38.28651,-82.19795,340,1.09,
R1_out,38.28670,-82.19784,345,1.11,
R1_out,38.28675,-82.19780,350,1.11,
R1_out,38.28678,-82.19778,355,1.11,
R1_out,38.28682,-82.19775,360,1.12,
R1_out,38.28685,-82.19771,365,1.12,
R1_out,38.28688,-82.19767,370,1.12,
R1_out,38.28689,-82.19764,375,1.12,
R1_out,38.28690,-82.19760,380,1.13,
R1_out,38.28692,-82.19751,385,1.13,
R1_out,38.28692,-82.19741,390,1.14,
R1_out,38.28694,-82.19705,395,1.16,
R1_out,38.28695,-82.19685,400,1.17,
R1_out,38.28696,-82.19656,405,1.18,
R1_out,38.28699,-82.19589,410,1.22,
R1_out,38.28700,-82.19572,415,1.23,
R1_out,38.28700,-82.19560,420,1.23,
R1_out,38.28701,-82.19547,425,1.24,
R1_out,38.28702,-82.19533,430,1.25,
R1_out,38.28701,-82.19517,435,1.26,
R1_out,38.28644,-82.19530,440,1.30,
R1_out,38.28701,-82.19517,445,1.34,
R1_out,38.28699,-82.19493,450,1.35,
R1_out,38.28696,-82.19465,455,1.37,
R1_out,38.28689,-82.19411,460,1.40,
R1_out,38.28687,-82.19397,465,1.40,
R1_out,38.28676,-82.19308,470,1.45,
R1_out,38.28671,-82.19267,475,1.48,
R1_out,38.28669,-82.19257,480,1.48,
R1_out,38.28668,-82.19251,485,1.48,
R1_out,38.28666,-82.19243,490,1.49,
R1_out,38.28664,-82.19237,495,1.49,
R1_out,38.28660,-82.19226,500,1.50,
R1_out,38.28646,-82.19214,505,1.51,
R1_out,38.28626,-82.19199,510,1.53,
R1_out,38.28614,-82.19190,515,1.54,
R1_out,38.28606,-82.19183,520,1.54,
R1_out,38.28598,-82.19176,525,1.55,
R1_out,38.28589,-82.19167,530,1.56,
R1_out,38.28582,-82.19160,535,1.56,
R1_out,38.28573,-82.19151,540,1.57,
R1_out,38.28560,-82.19137,545,1.58,
R1_out,38.28551,-82.19126,550,1.59,
R1_out,38.28544,-82.19117,555,1.60,
R1_out,38.28536,-82.19107,560,1.61,
R1_out,38.28525,-82.19091,565,1.62,
R1_out,38.28504,-82.19060,570,1.64,
R1_out,38.28484,-82.19028,575,1.66,
R1_out,38.28463,-82.18995,580,1.69,
R1_out,38.28441,-82.18963,585,1.71,
R1_out,38.28424,-82.18937,590,1.73,
R1_out,38.28401,-82.18900,595,1.75,
R1_out,38.28383,-82.18873,600,1.77,
R1_out,38.28363,-82.18843,605,1.79,
R1_out,38.28358,-82.18835,610,1.80,
R1_out,38.28350,-82.18823,615,1.81,
R1_out,38.28344,-82.18811,620,1.82,
R1_out,38.28338,-82.18801,625,1.82,
