trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled,Note
3459-M-F,07:54:00,07:54:00,LincolnPlaza,1,0,0,,
3459-M-F,07:57:00,07:57:00,77,2,0,0,,
3459-M-F,08:07:00,08:07:00,71,3,0,0,,
3459-M-F,08:10:00,08:10:00,76,4,0,0,,
3459-M-F,08:13:00,08:13:00,75,5,0,0,,
3459-M-F,08:16:00,08:16:00,lincolnCourt,6,0,0,,
3459-M-F,08:22:00,08:22:00,WhitesPlaza,7,0,0,,
3856-M-F,07:30:00,07:30:00,WhitesPlaza,10,0,0,,
3856-M-F,07:33:00,07:33:00,lincolnCourt,20,0,0,,
3856-M-F,07:39:00,07:39:00,71,30,0,0,,
3856-M-F,07:45:00,07:45:00,77,60,0,0,,
3856-M-F,07:50:00,07:50:00,LincolnPlaza,70,0,0,,
3857-M-F,08:25:00,08:25:00,WhitesPlaza,10,0,0,,
3857-M-F,08:28:00,08:28:00,lincolnCourt,20,0,0,,
3857-M-F,08:33:00,08:33:00,75,30,0,0,,
3857-M-F,08:36:00,08:36:00,76,40,0,0,,
3857-M-F,08:39:00,08:39:00,71,50,0,0,,
3857-M-F,08:46:00,08:46:00,77,60,0,0,,
3857-M-F,08:50:00,08:50:00,LincolnPlaza,70,0,0,,
3859-M-F,07:15:00,07:15:00,harts-FasCheck,10,0,0,,
3859-M-F,07:33:00,07:33:00,ranger-FasCheck,20,0,0,,
3859-M-F,07:41:00,07:41:00,365,30,0,0,,
3859-M-F,07:47:00,07:47:00,366,40,0,0,,
3859-M-F,08:00:00,08:00:00,LincolnPlaza,50,0,0,,
3859-M-F,08:04:00,08:04:00,77,60,0,0,,
3859-M-F,08:12:00,08:12:00,368,70,0,0,,
3859-M-F,08:19:00,08:19:00,369,80,0,0,,
3859-M-F,08:44:00,08:44:00,walmart-barb,90,0,0,,
3859-M-F,08:49:00,08:49:00,barborMall,100,0,0,,
3860-M-F,19:10:00,19:10:00,barborMall,10,0,0,,
3860-M-F,19:33:00,19:33:00,369,20,0,0,,
3860-M-F,19:40:00,19:40:00,368,30,0,0,,
3860-M-F,19:48:00,19:48:00,77,40,0,0,,
3860-M-F,20:05:00,20:05:00,77,50,0,0,,
3862-M-F,07:42:00,07:42:00,77,1,0,0,,
3862-M-F,07:47:00,07:47:00,LincolnPlaza,2,0,0,,
3862-M-F,07:55:00,07:55:00,366,3,0,0,,
3862-M-F,08:00:00,08:00:00,365,4,0,0,,
3862-M-F,08:07:00,08:07:00,ranger-FasCheck,5,0,0,,
3862-M-F,08:22:00,08:22:00,harts-FasCheck,6,0,0,,
3862-M-F,08:32:00,08:32:00,361,7,0,0,,
3862-M-F,08:41:00,08:41:00,486,8,0,0,,
3862-M-F,08:49:00,08:49:00,358,9,0,0,,
3862-M-F,08:53:00,08:53:00,356,10,0,0,,
3862-M-F,08:58:00,08:58:00,357,11,0,0,,
3862-M-F,09:09:00,09:09:00,pride,12,0,0,,
3862-M-F,09:12:00,09:12:00,loganCourt,13,0,0,,
3862-M-F,09:15:00,09:15:00,loganHosp,14,0,0,,
3862-M-F,09:23:00,09:23:00,sctc,15,0,0,,
3862-M-F,09:31:00,09:31:00,351,16,0,0,,
3862-M-F,09:39:00,09:39:00,walmart-logan,17,0,0,,
3865-M-F,08:51:00,08:51:00,barborMall,1,0,0,,
3865-M-F,09:12:00,09:12:00,369,2,0,0,,
3865-M-F,09:19:00,09:19:00,368,3,0,0,,
3865-M-F,09:27:00,09:27:00,77,4,0,0,,
3865-M-F,09:32:00,09:32:00,LincolnPlaza,5,0,0,,
3865-M-F,09:39:00,09:39:00,366,6,0,0,,
3865-M-F,09:44:00,09:44:00,365,7,0,0,,
3865-M-F,09:51:00,09:51:00,ranger-FasCheck,8,0,0,,
3865-M-F,10:05:00,10:05:00,363,9,0,0,,
3865-M-F,10:20:00,10:20:00,harts-FasCheck,10,0,0,,
3865-M-F,10:30:00,10:30:00,361,11,0,0,,
3865-M-F,10:37:00,10:37:00,486,12,0,0,,
3865-M-F,10:45:00,10:45:00,358,13,0,0,,
3865-M-F,10:49:00,10:49:00,356,14,0,0,,
3865-M-F,10:54:00,10:54:00,357,15,0,0,,
3865-M-F,11:05:00,11:05:00,pride,16,0,0,,
3865-M-F,11:08:00,11:08:00,loganCourt,17,0,0,,
3865-M-F,11:11:00,11:11:00,loganHosp,18,0,0,,
3865-M-F,11:18:00,11:18:00,sctc,19,0,0,,
3865-M-F,11:26:00,11:26:00,351,20,0,0,,
3865-M-F,11:34:00,11:34:00,walmart-logan,21,0,0,,
3866-M-F,18:05:00,18:05:00,walmart-logan,10,0,0,,
3866-M-F,18:13:00,18:13:00,351,20,0,0,,
3866-M-F,18:21:00,18:21:00,sctc,30,0,0,,
3866-M-F,18:27:00,18:27:00,loganHosp,40,0,0,,
3866-M-F,18:32:00,18:32:00,pride,50,0,0,,
3866-M-F,18:35:00,18:35:00,loganCourt,60,0,0,,
3866-M-F,18:40:00,18:40:00,355,70,0,0,,
3866-M-F,18:45:00,18:45:00,357,80,0,0,,
3866-M-F,18:50:00,18:50:00,356,90,0,0,,
3866-M-F,18:54:00,18:54:00,358,100,0,0,,
3866-M-F,18:59:00,18:59:00,359,110,0,0,,
3866-M-F,19:04:00,19:04:00,486,120,0,0,,
3866-M-F,19:10:00,19:10:00,361,130,0,0,,
3866-M-F,19:20:00,19:20:00,harts-FasCheck,140,0,0,,
3866-M-F,19:35:00,19:35:00,ranger-FasCheck,150,0,0,,
3866-M-F,19:42:00,19:42:00,365,160,0,0,,
3866-M-F,19:47:00,19:47:00,366,170,0,0,,
3866-M-F,19:55:00,19:55:00,LincolnPlaza,180,0,0,,
3866-M-F,19:58:00,19:58:00,77,190,0,0,,
3870-M-F,09:30:00,09:30:00,WhitesPlaza,10,0,0,,white's
3870-M-F,09:33:00,09:33:00,lincolnCourt,20,0,0,,courthouse
3870-M-F,09:36:00,09:36:00,75,30,0,0,,vo-tech
3870-M-F,09:42:00,09:42:00,71,50,0,0,,primary care
3870-M-F,09:53:00,09:53:00,77,60,0,0,,bus stop
3870-M-F,09:57:00,09:57:00,LincolnPlaza,70,0,0,,lincoln Plaza
3893-M-F,13:00:00,13:00:00,barborMall,1,0,0,,460
3893-M-F,13:21:00,13:21:00,369,2,0,0,,
3893-M-F,13:27:00,13:27:00,368,3,0,0,,
3893-M-F,13:35:00,13:35:00,77,4,0,0,,
3893-M-F,13:55:00,13:55:00,LincolnPlaza,5,0,0,,
3893-M-F,14:02:00,14:02:00,366,6,0,0,,
3893-M-F,14:07:00,14:07:00,365,7,0,0,,
3893-M-F,14:14:00,14:14:00,ranger-FasCheck,8,0,0,,
3893-M-F,14:29:00,14:29:00,harts-FasCheck,9,0,0,,
3893-M-F,14:39:00,14:39:00,361,10,0,0,,
3893-M-F,14:46:00,14:46:00,486,11,0,0,,
3893-M-F,14:54:00,14:54:00,358,12,0,0,,
3893-M-F,15:00:00,15:00:00,356,13,0,0,,
